t (s),I [Positive ions] (A),I [Negative ions] (A),I [Electrons] (A)
0.000000E+00,-2.249743E-14,-4.614384E-20,-1.108044E-11
1.000000E-13,-4.499486E-14,-1.230502E-19,-2.216087E-11
2.000000E-13,-6.749228E-14,-2.409730E-19,-3.324127E-11
3.000000E-13,-8.998971E-14,-4.033304E-19,-4.432164E-11
4.000000E-13,-1.124871E-13,-6.112615E-19,-5.540198E-11
1.778325E-12,-4.225748E-13,-8.176197E-18,-2.081221E-10
1.302020E-11,-2.951704E-12,-3.971326E-16,-1.453548E-09
7.328689E-11,-1.651008E-11,-1.241543E-14,-8.125578E-09
3.043542E-10,-6.849292E-11,-2.132534E-13,-3.364763E-08
9.831522E-10,-2.211910E-10,-2.212552E-12,-1.081131E-07
2.603030E-09,-5.855239E-10,-1.532136E-11,-2.826727E-07
5.865331E-09,-1.318948E-09,-7.592685E-11,-6.201110E-07
1.061533E-08,-2.385973E-09,-2.403241E-10,-1.076167E-06
1.536533E-08,-3.451860E-09,-4.872960E-10,-1.489018E-06
2.011533E-08,-4.516520E-09,-8.081077E-10,-1.857518E-06
2.486533E-08,-5.579906E-09,-1.193729E-09,-2.180662E-06
2.961533E-08,-6.642004E-09,-1.635052E-09,-2.457394E-06
3.436533E-08,-7.702826E-09,-2.122928E-09,-2.686527E-06
3.911533E-08,-8.762392E-09,-2.648177E-09,-2.866966E-06
4.386533E-08,-9.820720E-09,-3.201673E-09,-2.998427E-06
4.861533E-08,-1.087783E-08,-3.774597E-09,-3.082675E-06
5.336533E-08,-1.193371E-08,-4.358912E-09,-3.124851E-06
5.811533E-08,-1.298839E-08,-4.947977E-09,-3.134058E-06
6.286533E-08,-1.404185E-08,-5.537093E-09,-3.122433E-06
6.761533E-08,-1.509410E-08,-6.123737E-09,-3.102646E-06
7.236533E-08,-1.614515E-08,-6.707322E-09,-3.084799E-06
7.711533E-08,-1.719499E-08,-7.288535E-09,-3.074238E-06
8.186533E-08,-1.824363E-08,-7.868534E-09,-3.071380E-06
8.661533E-08,-1.929108E-08,-8.448292E-09,-3.073446E-06
9.136533E-08,-2.033735E-08,-9.028305E-09,-3.076943E-06
9.611533E-08,-2.138243E-08,-9.608623E-09,-3.079523E-06
1.008653E-07,-2.242635E-08,-1.018908E-08,-3.080521E-06
1.056153E-07,-2.346909E-08,-1.076947E-08,-3.080426E-06
1.103653E-07,-2.451066E-08,-1.134972E-08,-3.080014E-06
1.151153E-07,-2.555107E-08,-1.192979E-08,-3.079775E-06
1.198653E-07,-2.659032E-08,-1.250973E-08,-3.079809E-06
1.246153E-07,-2.762842E-08,-1.308956E-08,-3.079998E-06
1.293653E-07,-2.866537E-08,-1.366930E-08,-3.080207E-06
1.341153E-07,-2.970118E-08,-1.424894E-08,-3.080376E-06
1.388653E-07,-3.073584E-08,-1.482848E-08,-3.080509E-06
1.436153E-07,-3.176938E-08,-1.540791E-08,-3.080629E-06
1.483653E-07,-3.280178E-08,-1.598724E-08,-3.080753E-06
1.531153E-07,-3.383305E-08,-1.656647E-08,-3.080882E-06
1.578653E-07,-3.486321E-08,-1.714560E-08,-3.081015E-06
1.626153E-07,-3.589224E-08,-1.772463E-08,-3.081147E-06
1.673653E-07,-3.692016E-08,-1.830356E-08,-3.081279E-06
1.721153E-07,-3.794698E-08,-1.888238E-08,-3.081410E-06
1.768653E-07,-3.897269E-08,-1.946111E-08,-3.081540E-06
1.816153E-07,-3.999729E-08,-2.003974E-08,-3.081671E-06
1.863653E-07,-4.102081E-08,-2.061827E-08,-3.081802E-06
1.911153E-07,-4.204323E-08,-2.119670E-08,-3.081932E-06
1.958653E-07,-4.306456E-08,-2.177503E-08,-3.082063E-06
2.006153E-07,-4.408481E-08,-2.235326E-08,-3.082193E-06
2.053653E-07,-4.510397E-08,-2.293139E-08,-3.082323E-06
2.101153E-07,-4.612206E-08,-2.350943E-08,-3.082454E-06
2.148653E-07,-4.713908E-08,-2.408736E-08,-3.082584E-06
2.196153E-07,-4.815504E-08,-2.466520E-08,-3.082714E-06
2.243653E-07,-4.916992E-08,-2.524294E-08,-3.082844E-06
2.291153E-07,-5.018375E-08,-2.582058E-08,-3.082974E-06
2.338653E-07,-5.119652E-08,-2.639812E-08,-3.083104E-06
2.386153E-07,-5.220824E-08,-2.697556E-08,-3.083234E-06
2.433653E-07,-5.321891E-08,-2.755289E-08,-3.083364E-06
2.481153E-07,-5.422854E-08,-2.813013E-08,-3.083493E-06
2.528653E-07,-5.523713E-08,-2.870727E-08,-3.083623E-06
2.576153E-07,-5.624467E-08,-2.928430E-08,-3.083753E-06
2.623653E-07,-5.725119E-08,-2.986124E-08,-3.083883E-06
2.671153E-07,-5.825667E-08,-3.043807E-08,-3.084013E-06
2.718653E-07,-5.926113E-08,-3.101479E-08,-3.084143E-06
2.766153E-07,-6.026457E-08,-3.159141E-08,-3.084273E-06
2.813653E-07,-6.126699E-08,-3.216793E-08,-3.084403E-06
2.861153E-07,-6.226839E-08,-3.274435E-08,-3.084533E-06
2.908653E-07,-6.326878E-08,-3.332066E-08,-3.084662E-06
2.956153E-07,-6.426817E-08,-3.389686E-08,-3.084792E-06
3.003653E-07,-6.526655E-08,-3.447296E-08,-3.084922E-06
3.051153E-07,-6.626393E-08,-3.504895E-08,-3.085051E-06
3.098653E-07,-6.726031E-08,-3.562483E-08,-3.085180E-06
3.146153E-07,-6.825570E-08,-3.620061E-08,-3.085310E-06
3.193653E-07,-6.925009E-08,-3.677628E-08,-3.085439E-06
3.241153E-07,-7.024350E-08,-3.735185E-08,-3.085568E-06
3.288653E-07,-7.123593E-08,-3.792730E-08,-3.085697E-06
3.336153E-07,-7.222738E-08,-3.850265E-08,-3.085825E-06
3.383653E-07,-7.321785E-08,-3.907788E-08,-3.085954E-06
3.431153E-07,-7.420734E-08,-3.965301E-08,-3.086083E-06
