t (s),I [Positive ions] (A),I [Negative ions] (A),I [Electrons] (A)
0.000000E+00,-2.146469E-15,-4.402562E-21,-1.057180E-12
1.000000E-13,-4.292939E-15,-1.174016E-20,-2.114358E-12
2.000000E-13,-6.439408E-15,-2.299113E-20,-3.171534E-12
3.000000E-13,-8.585878E-15,-3.848157E-20,-4.228707E-12
4.000000E-13,-1.073235E-14,-5.832018E-20,-5.285877E-12
1.778325E-12,-4.031767E-14,-7.800873E-19,-1.985684E-11
1.302020E-11,-2.816208E-13,-3.789024E-17,-1.386823E-10
7.328689E-11,-1.575219E-12,-1.184551E-15,-7.752577E-10
3.043542E-10,-6.534879E-12,-2.034641E-14,-3.210306E-09
9.831522E-10,-2.110373E-11,-2.110986E-13,-1.031502E-08
2.603030E-09,-5.586457E-11,-1.461804E-12,-2.696968E-08
5.865331E-09,-1.258402E-10,-7.244147E-12,-5.916452E-08
1.061533E-08,-2.276447E-10,-2.292924E-11,-1.026767E-07
1.536533E-08,-3.293407E-10,-4.649288E-11,-1.420672E-07
2.011533E-08,-4.309199E-10,-7.710194E-11,-1.772274E-07
2.486533E-08,-5.323776E-10,-1.138953E-10,-2.080618E-07
2.961533E-08,-6.337127E-10,-1.560043E-10,-2.344701E-07
3.436533E-08,-7.349263E-10,-2.025569E-10,-2.563392E-07
3.911533E-08,-8.360202E-10,-2.526780E-10,-2.735636E-07
4.386533E-08,-9.369962E-10,-3.054971E-10,-2.861147E-07
4.861533E-08,-1.037855E-09,-3.601732E-10,-2.941586E-07
5.336533E-08,-1.138598E-09,-4.159393E-10,-2.981839E-07
5.811533E-08,-1.239225E-09,-4.721610E-10,-2.990579E-07
6.286533E-08,-1.339736E-09,-5.283893E-10,-2.979390E-07
6.761533E-08,-1.440131E-09,-5.843826E-10,-2.960379E-07
7.236533E-08,-1.540410E-09,-6.400844E-10,-2.943206E-07
7.711533E-08,-1.640573E-09,-6.955601E-10,-2.932992E-07
8.186533E-08,-1.740622E-09,-7.509203E-10,-2.930140E-07
8.661533E-08,-1.840557E-09,-8.062581E-10,-2.931998E-07
9.136533E-08,-1.940378E-09,-8.616208E-10,-2.935224E-07
9.611533E-08,-2.040085E-09,-9.170135E-10,-2.937575E-07
1.008653E-07,-2.139680E-09,-9.724198E-10,-2.938414E-07
1.056153E-07,-2.239162E-09,-1.027822E-09,-2.938208E-07
1.103653E-07,-2.338533E-09,-1.083209E-09,-2.937700E-07
1.151153E-07,-2.437791E-09,-1.138582E-09,-2.937358E-07
1.198653E-07,-2.536937E-09,-1.193942E-09,-2.937277E-07
1.246153E-07,-2.635973E-09,-1.249293E-09,-2.937343E-07
1.293653E-07,-2.734898E-09,-1.304636E-09,-2.937429E-07
1.341153E-07,-2.833713E-09,-1.359969E-09,-2.937478E-07
1.388653E-07,-2.932418E-09,-1.415295E-09,-2.937491E-07
1.436153E-07,-3.031013E-09,-1.470610E-09,-2.937492E-07
1.483653E-07,-3.129500E-09,-1.525917E-09,-2.937497E-07
1.531153E-07,-3.227877E-09,-1.581215E-09,-2.937508E-07
1.578653E-07,-3.326146E-09,-1.636504E-09,-2.937521E-07
1.626153E-07,-3.424308E-09,-1.691785E-09,-2.937534E-07
1.673653E-07,-3.522361E-09,-1.747056E-09,-2.937547E-07
1.721153E-07,-3.620307E-09,-1.802319E-09,-2.937559E-07
1.768653E-07,-3.718147E-09,-1.857573E-09,-2.937571E-07
1.816153E-07,-3.815880E-09,-1.912818E-09,-2.937583E-07
1.863653E-07,-3.913506E-09,-1.968055E-09,-2.937595E-07
1.911153E-07,-4.011027E-09,-2.023283E-09,-2.937607E-07
1.958653E-07,-4.108442E-09,-2.078502E-09,-2.937619E-07
2.006153E-07,-4.205752E-09,-2.133713E-09,-2.937631E-07
2.053653E-07,-4.302958E-09,-2.188916E-09,-2.937643E-07
2.101153E-07,-4.400058E-09,-2.244109E-09,-2.937655E-07
2.148653E-07,-4.497055E-09,-2.299295E-09,-2.937668E-07
2.196153E-07,-4.593948E-09,-2.354471E-09,-2.937680E-07
2.243653E-07,-4.690737E-09,-2.409639E-09,-2.937692E-07
2.291153E-07,-4.787424E-09,-2.464798E-09,-2.937704E-07
2.338653E-07,-4.884007E-09,-2.519949E-09,-2.937716E-07
2.386153E-07,-4.980489E-09,-2.575091E-09,-2.937728E-07
2.433653E-07,-5.076868E-09,-2.630224E-09,-2.937740E-07
2.481153E-07,-5.173145E-09,-2.685348E-09,-2.937752E-07
2.528653E-07,-5.269321E-09,-2.740464E-09,-2.937765E-07
2.576153E-07,-5.365395E-09,-2.795571E-09,-2.937777E-07
2.623653E-07,-5.461369E-09,-2.850669E-09,-2.937789E-07
2.671153E-07,-5.557242E-09,-2.905758E-09,-2.937801E-07
2.718653E-07,-5.653015E-09,-2.960838E-09,-2.937813E-07
2.766153E-07,-5.748689E-09,-3.015909E-09,-2.937825E-07
2.813653E-07,-5.844262E-09,-3.070971E-09,-2.937837E-07
2.861153E-07,-5.939737E-09,-3.126024E-09,-2.937849E-07
2.908653E-07,-6.035112E-09,-3.181068E-09,-2.937862E-07
2.956153E-07,-6.130389E-09,-3.236102E-09,-2.937874E-07
3.003653E-07,-6.225568E-09,-3.291128E-09,-2.937886E-07
3.051153E-07,-6.320648E-09,-3.346145E-09,-2.937898E-07
3.098653E-07,-6.415631E-09,-3.401152E-09,-2.937910E-07
3.146153E-07,-6.510516E-09,-3.456150E-09,-2.937922E-07
3.193653E-07,-6.605304E-09,-3.511139E-09,-2.937934E-07
3.241153E-07,-6.699996E-09,-3.566118E-09,-2.937946E-07
3.288653E-07,-6.794591E-09,-3.621089E-09,-2.937958E-07
3.336153E-07,-6.889089E-09,-3.676050E-09,-2.937971E-07
3.383653E-07,-6.983492E-09,-3.731001E-09,-2.937983E-07
3.431153E-07,-7.077799E-09,-3.785943E-09,-2.937995E-07
3.478653E-07,-7.172010E-09,-3.840876E-09,-2.938007E-07
3.526153E-07,-7.266127E-09,-3.895800E-09,-2.938019E-07
3.573653E-07,-7.360148E-09,-3.950714E-09,-2.938031E-07
3.621153E-07,-7.454076E-09,-4.005619E-09,-2.938043E-07
3.668653E-07,-7.547909E-09,-4.060514E-09,-2.938055E-07
3.716153E-07,-7.641647E-09,-4.115400E-09,-2.938067E-07
3.763653E-07,-7.735293E-09,-4.170276E-09,-2.938080E-07
3.811153E-07,-7.828845E-09,-4.225143E-09,-2.938092E-07
3.858653E-07,-7.922303E-09,-4.280001E-09,-2.938104E-07
3.906153E-07,-8.015669E-09,-4.334849E-09,-2.938116E-07
3.953653E-07,-8.108942E-09,-4.389688E-09,-2.938128E-07
4.001153E-07,-8.202123E-09,-4.444518E-09,-2.938140E-07
4.048653E-07,-8.295212E-09,-4.499339E-09,-2.938152E-07
4.096153E-07,-8.388209E-09,-4.554150E-09,-2.938164E-07
4.143653E-07,-8.481114E-09,-4.608952E-09,-2.938176E-07
4.191153E-07,-8.573929E-09,-4.663745E-09,-2.938188E-07
4.238653E-07,-8.666652E-09,-4.718528E-09,-2.938200E-07
4.286153E-07,-8.759284E-09,-4.773303E-09,-2.938212E-07
4.333653E-07,-8.851826E-09,-4.828068E-09,-2.938224E-07
4.381153E-07,-8.944278E-09,-4.882824E-09,-2.938236E-07
4.428653E-07,-9.036640E-09,-4.937571E-09,-2.938249E-07
4.476153E-07,-9.128912E-09,-4.992309E-09,-2.938261E-07
