t (s),I [Positive ions] (A),I [Negative ions] (A),I [Electrons] (A)
0.000000E+00,-1.280074E-16,-2.625522E-22,-6.304624E-14
1.000000E-13,-2.560147E-16,-7.001389E-22,-1.260924E-13
2.000000E-13,-3.840221E-16,-1.371104E-21,-1.891383E-13
3.000000E-13,-5.120294E-16,-2.294896E-21,-2.521842E-13
4.000000E-13,-6.400368E-16,-3.477996E-21,-3.152298E-13
1.778325E-12,-2.404394E-15,-4.652147E-20,-1.184187E-12
1.302020E-11,-1.679480E-14,-2.259631E-18,-8.270492E-12
7.328689E-11,-9.394014E-14,-7.064216E-17,-4.623345E-11
3.043542E-10,-3.897155E-13,-1.213383E-15,-1.914505E-10
9.831522E-10,-1.258547E-12,-1.258913E-14,-6.151492E-10
2.603030E-09,-3.331552E-12,-8.717647E-14,-1.608370E-09
5.865331E-09,-7.504637E-12,-4.320136E-13,-3.528349E-09
1.061533E-08,-1.357587E-11,-1.367413E-12,-6.123251E-09
1.536533E-08,-1.964064E-11,-2.772661E-12,-8.472357E-09
2.011533E-08,-2.569844E-11,-4.598074E-12,-1.056919E-08
2.486533E-08,-3.174900E-11,-6.792297E-12,-1.240805E-08
2.961533E-08,-3.779225E-11,-9.303538E-12,-1.398298E-08
3.436533E-08,-4.382826E-11,-1.207979E-11,-1.528722E-08
3.911533E-08,-4.985712E-11,-1.506886E-11,-1.631447E-08
4.386533E-08,-5.587896E-11,-1.821885E-11,-1.706301E-08
4.861533E-08,-6.189383E-11,-2.147961E-11,-1.754276E-08
5.336533E-08,-6.790177E-11,-2.480539E-11,-1.778282E-08
5.811533E-08,-7.390278E-11,-2.815836E-11,-1.783492E-08
6.286533E-08,-7.989687E-11,-3.151172E-11,-1.776813E-08
6.761533E-08,-8.588403E-11,-3.485109E-11,-1.765468E-08
7.236533E-08,-9.186428E-11,-3.817306E-11,-1.755218E-08
7.711533E-08,-9.783765E-11,-4.148156E-11,-1.749118E-08
8.186533E-08,-1.038042E-10,-4.478317E-11,-1.747411E-08
8.661533E-08,-1.097639E-10,-4.808344E-11,-1.748511E-08
9.136533E-08,-1.157168E-10,-5.138520E-11,-1.750429E-08
9.611533E-08,-1.216630E-10,-5.468876E-11,-1.751824E-08
1.008653E-07,-1.276024E-10,-5.799313E-11,-1.752318E-08
1.056153E-07,-1.335351E-10,-6.129724E-11,-1.752188E-08
1.103653E-07,-1.394612E-10,-6.460052E-11,-1.751879E-08
1.151153E-07,-1.453805E-10,-6.790290E-11,-1.751668E-08
1.198653E-07,-1.512932E-10,-7.120455E-11,-1.751612E-08
1.246153E-07,-1.571992E-10,-7.450563E-11,-1.751645E-08
1.293653E-07,-1.630987E-10,-7.780622E-11,-1.751690E-08
1.341153E-07,-1.689916E-10,-8.110630E-11,-1.751712E-08
1.388653E-07,-1.748779E-10,-8.440586E-11,-1.751713E-08
1.436153E-07,-1.807577E-10,-8.770489E-11,-1.751707E-08
1.483653E-07,-1.866310E-10,-9.100338E-11,-1.751703E-08
1.531153E-07,-1.924977E-10,-9.430133E-11,-1.751702E-08
1.578653E-07,-1.983580E-10,-9.759876E-11,-1.751704E-08
1.626153E-07,-2.042119E-10,-1.008957E-10,-1.751705E-08
1.673653E-07,-2.100593E-10,-1.041921E-10,-1.751705E-08
1.721153E-07,-2.159003E-10,-1.074879E-10,-1.751706E-08
1.768653E-07,-2.217350E-10,-1.107833E-10,-1.751706E-08
1.816153E-07,-2.275632E-10,-1.140781E-10,-1.751706E-08
1.863653E-07,-2.333852E-10,-1.173725E-10,-1.751707E-08
1.911153E-07,-2.392008E-10,-1.206663E-10,-1.751707E-08
1.958653E-07,-2.450101E-10,-1.239596E-10,-1.751708E-08
2.006153E-07,-2.508131E-10,-1.272524E-10,-1.751708E-08
2.053653E-07,-2.566098E-10,-1.305447E-10,-1.751709E-08
2.101153E-07,-2.624004E-10,-1.338365E-10,-1.751709E-08
2.148653E-07,-2.681847E-10,-1.371278E-10,-1.751710E-08
2.196153E-07,-2.739628E-10,-1.404186E-10,-1.751710E-08
2.243653E-07,-2.797347E-10,-1.437089E-10,-1.751710E-08
2.291153E-07,-2.855004E-10,-1.469986E-10,-1.751711E-08
2.338653E-07,-2.912600E-10,-1.502879E-10,-1.751711E-08
2.386153E-07,-2.970135E-10,-1.535766E-10,-1.751712E-08
2.433653E-07,-3.027609E-10,-1.568648E-10,-1.751712E-08
2.481153E-07,-3.085022E-10,-1.601525E-10,-1.751713E-08
2.528653E-07,-3.142375E-10,-1.634397E-10,-1.751713E-08
2.576153E-07,-3.199667E-10,-1.667263E-10,-1.751713E-08
2.623653E-07,-3.256899E-10,-1.700125E-10,-1.751714E-08
2.671153E-07,-3.314070E-10,-1.732981E-10,-1.751714E-08
2.718653E-07,-3.371182E-10,-1.765831E-10,-1.751715E-08
2.766153E-07,-3.428234E-10,-1.798677E-10,-1.751715E-08
2.813653E-07,-3.485227E-10,-1.831517E-10,-1.751716E-08
2.861153E-07,-3.542160E-10,-1.864352E-10,-1.751716E-08
2.908653E-07,-3.599034E-10,-1.897181E-10,-1.751716E-08
2.956153E-07,-3.655849E-10,-1.930005E-10,-1.751717E-08
3.003653E-07,-3.712605E-10,-1.962824E-10,-1.751717E-08
3.051153E-07,-3.769303E-10,-1.995637E-10,-1.751718E-08
3.098653E-07,-3.825942E-10,-2.028445E-10,-1.751718E-08
3.146153E-07,-3.882523E-10,-2.061247E-10,-1.751719E-08
3.193653E-07,-3.939046E-10,-2.094044E-10,-1.751719E-08
3.241153E-07,-3.995511E-10,-2.126835E-10,-1.751719E-08
3.288653E-07,-4.051918E-10,-2.159621E-10,-1.751720E-08
3.336153E-07,-4.108268E-10,-2.192402E-10,-1.751720E-08
3.383653E-07,-4.164560E-10,-2.225177E-10,-1.751721E-08
3.431153E-07,-4.220795E-10,-2.257946E-10,-1.751721E-08
3.478653E-07,-4.276973E-10,-2.290710E-10,-1.751722E-08
3.526153E-07,-4.333095E-10,-2.323468E-10,-1.751722E-08
3.573653E-07,-4.389159E-10,-2.356221E-10,-1.751723E-08
3.621153E-07,-4.445167E-10,-2.388968E-10,-1.751723E-08
3.668653E-07,-4.501118E-10,-2.421710E-10,-1.751723E-08
3.716153E-07,-4.557014E-10,-2.454446E-10,-1.751724E-08
3.763653E-07,-4.612853E-10,-2.487176E-10,-1.751724E-08
3.811153E-07,-4.668636E-10,-2.519901E-10,-1.751725E-08
3.858653E-07,-4.724364E-10,-2.552621E-10,-1.751725E-08
3.906153E-07,-4.780036E-10,-2.585335E-10,-1.751726E-08
3.953653E-07,-4.835652E-10,-2.618043E-10,-1.751726E-08
4.001153E-07,-4.891214E-10,-2.650746E-10,-1.751726E-08
4.048653E-07,-4.946720E-10,-2.683444E-10,-1.751727E-08
4.096153E-07,-5.002171E-10,-2.716136E-10,-1.751727E-08
4.143653E-07,-5.057568E-10,-2.748822E-10,-1.751728E-08
4.191153E-07,-5.112910E-10,-2.781503E-10,-1.751728E-08
4.238653E-07,-5.168197E-10,-2.814179E-10,-1.751729E-08
4.286153E-07,-5.223430E-10,-2.846850E-10,-1.751729E-08
4.333653E-07,-5.278609E-10,-2.879515E-10,-1.751729E-08
4.381153E-07,-5.333734E-10,-2.912174E-10,-1.751730E-08
4.428653E-07,-5.388805E-10,-2.944829E-10,-1.751730E-08
4.476153E-07,-5.443823E-10,-2.977477E-10,-1.751731E-08
4.523653E-07,-5.498786E-10,-3.010121E-10,-1.751731E-08
4.571153E-07,-5.553697E-10,-3.042759E-10,-1.751732E-08
4.618653E-07,-5.608554E-10,-3.075393E-10,-1.751732E-08
4.666153E-07,-5.663358E-10,-3.108020E-10,-1.751732E-08
4.713653E-07,-5.718109E-10,-3.140643E-10,-1.751733E-08
4.761153E-07,-5.772807E-10,-3.173260E-10,-1.751733E-08
4.808653E-07,-5.827453E-10,-3.205873E-10,-1.751734E-08
4.856153E-07,-5.882046E-10,-3.238479E-10,-1.751734E-08
4.903653E-07,-5.936586E-10,-3.271081E-10,-1.751735E-08
4.951153E-07,-5.991074E-10,-3.303678E-10,-1.751735E-08
4.998653E-07,-6.045511E-10,-3.336269E-10,-1.751735E-08
5.046153E-07,-6.099895E-10,-3.368856E-10,-1.751736E-08
5.093653E-07,-6.154227E-10,-3.401437E-10,-1.751736E-08
5.141153E-07,-6.208508E-10,-3.434013E-10,-1.751737E-08
5.188653E-07,-6.262737E-10,-3.466584E-10,-1.751737E-08
5.236153E-07,-6.316914E-10,-3.499150E-10,-1.751738E-08
5.283653E-07,-6.371041E-10,-3.531711E-10,-1.751738E-08
5.331153E-07,-6.425116E-10,-3.564267E-10,-1.751738E-08
5.378653E-07,-6.479140E-10,-3.596817E-10,-1.751739E-08
5.426153E-07,-6.533114E-10,-3.629363E-10,-1.751739E-08
5.473653E-07,-6.587036E-10,-3.661904E-10,-1.751740E-08
5.521153E-07,-6.640908E-10,-3.694440E-10,-1.751740E-08
5.568653E-07,-6.694730E-10,-3.726970E-10,-1.751741E-08
5.616153E-07,-6.748501E-10,-3.759496E-10,-1.751741E-08
5.663653E-07,-6.802222E-10,-3.792016E-10,-1.751741E-08
5.711153E-07,-6.855893E-10,-3.824532E-10,-1.751742E-08
5.758653E-07,-6.909513E-10,-3.857042E-10,-1.751742E-08
5.806153E-07,-6.963084E-10,-3.889548E-10,-1.751743E-08
5.853653E-07,-7.016606E-10,-3.922048E-10,-1.751743E-08
5.901153E-07,-7.070078E-10,-3.954544E-10,-1.751744E-08
5.948653E-07,-7.123500E-10,-3.987034E-10,-1.751744E-08
5.996153E-07,-7.176873E-10,-4.019519E-10,-1.751745E-08
6.043653E-07,-7.230197E-10,-4.051999E-10,-1.751745E-08
6.091153E-07,-7.283472E-10,-4.084474E-10,-1.751745E-08
6.138653E-07,-7.336697E-10,-4.116944E-10,-1.751746E-08
6.186153E-07,-7.389874E-10,-4.149409E-10,-1.751746E-08
6.233653E-07,-7.443003E-10,-4.181868E-10,-1.751747E-08
6.281153E-07,-7.496082E-10,-4.214323E-10,-1.751747E-08
6.328653E-07,-7.549114E-10,-4.246772E-10,-1.751748E-08
6.376153E-07,-7.602097E-10,-4.279216E-10,-1.751748E-08
6.423653E-07,-7.655031E-10,-4.311655E-10,-1.751748E-08
6.471153E-07,-7.707918E-10,-4.344089E-10,-1.751749E-08
6.518653E-07,-7.760757E-10,-4.376518E-10,-1.751749E-08
6.566153E-07,-7.813547E-10,-4.408941E-10,-1.751750E-08
6.613653E-07,-7.866290E-10,-4.441360E-10,-1.751750E-08
6.661153E-07,-7.918986E-10,-4.473773E-10,-1.751751E-08
6.708653E-07,-7.971634E-10,-4.506181E-10,-1.751751E-08
6.756153E-07,-8.024235E-10,-4.538583E-10,-1.751751E-08
6.803653E-07,-8.076788E-10,-4.570981E-10,-1.751752E-08
6.851153E-07,-8.129294E-10,-4.603373E-10,-1.751752E-08
6.898653E-07,-8.181753E-10,-4.635760E-10,-1.751753E-08
6.946153E-07,-8.234165E-10,-4.668142E-10,-1.751753E-08
6.993653E-07,-8.286531E-10,-4.700518E-10,-1.751754E-08
7.041153E-07,-8.338850E-10,-4.732889E-10,-1.751754E-08
7.088653E-07,-8.391122E-10,-4.765255E-10,-1.751754E-08
7.136153E-07,-8.443347E-10,-4.797616E-10,-1.751755E-08
7.183653E-07,-8.495527E-10,-4.829971E-10,-1.751755E-08
7.231153E-07,-8.547660E-10,-4.862321E-10,-1.751756E-08
7.278653E-07,-8.599747E-10,-4.894666E-10,-1.751756E-08
7.326153E-07,-8.651788E-10,-4.927005E-10,-1.751757E-08
7.373653E-07,-8.703783E-10,-4.959339E-10,-1.751757E-08
7.421153E-07,-8.755732E-10,-4.991668E-10,-1.751757E-08
7.468653E-07,-8.807635E-10,-5.023991E-10,-1.751758E-08
7.516153E-07,-8.859493E-10,-5.056309E-10,-1.751758E-08
7.563653E-07,-8.911306E-10,-5.088622E-10,-1.751759E-08
7.611153E-07,-8.963073E-10,-5.120930E-10,-1.751759E-08
7.658653E-07,-9.014795E-10,-5.153232E-10,-1.751760E-08
7.706153E-07,-9.066471E-10,-5.185528E-10,-1.751760E-08
7.753653E-07,-9.118103E-10,-5.217820E-10,-1.751760E-08
7.801153E-07,-9.169690E-10,-5.250106E-10,-1.751761E-08
7.848653E-07,-9.221231E-10,-5.282387E-10,-1.751761E-08
7.896153E-07,-9.272728E-10,-5.314662E-10,-1.751762E-08
7.943653E-07,-9.324181E-10,-5.346932E-10,-1.751762E-08
7.991153E-07,-9.375589E-10,-5.379197E-10,-1.751763E-08
8.038653E-07,-9.426952E-10,-5.411456E-10,-1.751763E-08
8.086153E-07,-9.478271E-10,-5.443710E-10,-1.751763E-08
8.133653E-07,-9.529546E-10,-5.475958E-10,-1.751764E-08
8.181153E-07,-9.580777E-10,-5.508202E-10,-1.751764E-08
8.228653E-07,-9.631964E-10,-5.540439E-10,-1.751765E-08
8.276153E-07,-9.683106E-10,-5.572672E-10,-1.751765E-08
8.323653E-07,-9.734205E-10,-5.604899E-10,-1.751766E-08
8.371153E-07,-9.785261E-10,-5.637121E-10,-1.751766E-08
8.418653E-07,-9.836272E-10,-5.669337E-10,-1.751766E-08
8.466153E-07,-9.887240E-10,-5.701548E-10,-1.751767E-08
8.513653E-07,-9.938165E-10,-5.733754E-10,-1.751767E-08
8.561153E-07,-9.989046E-10,-5.765954E-10,-1.751768E-08
8.608653E-07,-1.003988E-09,-5.798149E-10,-1.751768E-08
8.656153E-07,-1.009068E-09,-5.830339E-10,-1.751769E-08
8.703653E-07,-1.014143E-09,-5.862523E-10,-1.751769E-08
8.751153E-07,-1.019214E-09,-5.894702E-10,-1.751769E-08
8.798653E-07,-1.024281E-09,-5.926876E-10,-1.751770E-08
8.846153E-07,-1.029343E-09,-5.959044E-10,-1.751770E-08
8.893653E-07,-1.034401E-09,-5.991207E-10,-1.751771E-08
8.941153E-07,-1.039455E-09,-6.023364E-10,-1.751771E-08
8.988653E-07,-1.044504E-09,-6.055516E-10,-1.751771E-08
9.036153E-07,-1.049550E-09,-6.087663E-10,-1.751772E-08
9.083653E-07,-1.054591E-09,-6.119805E-10,-1.751772E-08
9.131153E-07,-1.059628E-09,-6.151941E-10,-1.751773E-08
9.178653E-07,-1.064660E-09,-6.184071E-10,-1.751773E-08
9.226153E-07,-1.069689E-09,-6.216197E-10,-1.751774E-08
9.273653E-07,-1.074713E-09,-6.248317E-10,-1.751774E-08
9.321153E-07,-1.079733E-09,-6.280431E-10,-1.751774E-08
9.368653E-07,-1.084749E-09,-6.312540E-10,-1.751775E-08
9.416153E-07,-1.089761E-09,-6.344644E-10,-1.751775E-08
9.463653E-07,-1.094768E-09,-6.376743E-10,-1.751776E-08
9.511153E-07,-1.099772E-09,-6.408836E-10,-1.751776E-08
9.558653E-07,-1.104771E-09,-6.440924E-10,-1.751777E-08
9.606153E-07,-1.109766E-09,-6.473006E-10,-1.751777E-08
9.653653E-07,-1.114757E-09,-6.505083E-10,-1.751777E-08
9.701153E-07,-1.119744E-09,-6.537155E-10,-1.751778E-08
9.748653E-07,-1.124727E-09,-6.569221E-10,-1.751778E-08
9.796153E-07,-1.129706E-09,-6.601282E-10,-1.751779E-08
9.843653E-07,-1.134681E-09,-6.633338E-10,-1.751779E-08
9.891153E-07,-1.139651E-09,-6.665388E-10,-1.751780E-08
9.938653E-07,-1.144618E-09,-6.697433E-10,-1.751780E-08
9.986153E-07,-1.149580E-09,-6.729473E-10,-1.751780E-08
1.003365E-06,-1.154539E-09,-6.761507E-10,-1.751781E-08
1.008115E-06,-1.159493E-09,-6.793536E-10,-1.751781E-08
1.012865E-06,-1.164443E-09,-6.825559E-10,-1.751782E-08
1.017615E-06,-1.169390E-09,-6.857577E-10,-1.751782E-08
1.022365E-06,-1.174332E-09,-6.889590E-10,-1.751783E-08
1.027115E-06,-1.179270E-09,-6.921597E-10,-1.751783E-08
1.031865E-06,-1.184204E-09,-6.953599E-10,-1.751783E-08
1.036615E-06,-1.189135E-09,-6.985595E-10,-1.751784E-08
1.041365E-06,-1.194061E-09,-7.017586E-10,-1.751784E-08
1.046115E-06,-1.198983E-09,-7.049572E-10,-1.751785E-08
1.050865E-06,-1.203902E-09,-7.081552E-10,-1.751785E-08
1.055615E-06,-1.208816E-09,-7.113527E-10,-1.751786E-08
