t (s),I [Positive ions] (A),I [Negative ions] (A),I [Electrons] (A)
0.000000E+00,-9.212506E-14,-1.889551E-19,-4.537348E-11
1.000000E-13,-1.842501E-13,-5.038800E-19,-9.074687E-11
2.000000E-13,-2.763752E-13,-9.867642E-19,-1.361202E-10
3.000000E-13,-3.685002E-13,-1.651604E-18,-1.814933E-10
4.000000E-13,-4.606253E-13,-2.503064E-18,-2.268664E-10
1.778325E-12,-1.730408E-12,-3.348083E-17,-8.522424E-10
1.302020E-11,-1.208698E-11,-1.626224E-15,-5.952155E-09
7.328689E-11,-6.760737E-11,-5.084015E-14,-3.327355E-08
3.043542E-10,-2.804727E-10,-8.732547E-13,-1.377842E-07
9.831522E-10,-9.057584E-10,-9.060213E-12,-4.427141E-07
2.603030E-09,-2.397670E-09,-6.273966E-11,-1.157521E-06
5.865332E-09,-5.400977E-09,-3.109140E-10,-2.539301E-06
1.061533E-08,-9.770343E-09,-9.841040E-10,-4.406793E-06
1.536533E-08,-1.413503E-08,-1.995408E-09,-6.097299E-06
2.011533E-08,-1.849467E-08,-3.309023E-09,-7.606031E-06
2.486533E-08,-2.284905E-08,-4.887916E-09,-8.928777E-06
2.961533E-08,-2.719813E-08,-6.694706E-09,-1.006116E-05
3.436533E-08,-3.154195E-08,-8.691838E-09,-1.099833E-05
3.911533E-08,-3.588060E-08,-1.084163E-08,-1.173592E-05
4.386533E-08,-4.021417E-08,-1.310662E-08,-1.227301E-05
4.861533E-08,-4.454274E-08,-1.545069E-08,-1.261713E-05
5.336533E-08,-4.886636E-08,-1.784094E-08,-1.278964E-05
5.811533E-08,-5.318504E-08,-2.025028E-08,-1.282798E-05
6.286533E-08,-5.749883E-08,-2.265957E-08,-1.278180E-05
6.761533E-08,-6.180773E-08,-2.505861E-08,-1.270271E-05
7.236533E-08,-6.611175E-08,-2.744505E-08,-1.263173E-05
7.711533E-08,-7.041093E-08,-2.982174E-08,-1.259048E-05
8.186533E-08,-7.470527E-08,-3.219340E-08,-1.258058E-05
8.661533E-08,-7.899481E-08,-3.456398E-08,-1.259068E-05
9.136533E-08,-8.327959E-08,-3.693550E-08,-1.260659E-05
9.611533E-08,-8.755964E-08,-3.930815E-08,-1.261874E-05
1.008653E-07,-9.183498E-08,-4.168122E-08,-1.262446E-05
1.056153E-07,-9.610565E-08,-4.405395E-08,-1.262571E-05
1.103653E-07,-1.003717E-07,-4.642594E-08,-1.262565E-05
1.151153E-07,-1.046330E-07,-4.879713E-08,-1.262630E-05
1.198653E-07,-1.088898E-07,-5.116763E-08,-1.262805E-05
1.246153E-07,-1.131420E-07,-5.353757E-08,-1.263043E-05
1.293653E-07,-1.173896E-07,-5.590700E-08,-1.263290E-05
