t (s),I [Positive ions] (A),I [Negative ions] (A),I [Electrons] (A)
0.000000E+00,-2.047937E-16,-4.200465E-22,-1.008651E-13
1.000000E-13,-4.095874E-16,-1.120123E-21,-2.017300E-13
2.000000E-13,-6.143810E-16,-2.193573E-21,-3.025946E-13
3.000000E-13,-8.191747E-16,-3.671510E-21,-4.034590E-13
4.000000E-13,-1.023968E-15,-5.564302E-21,-5.043232E-13
1.778325E-12,-3.846691E-15,-7.442778E-20,-1.894532E-12
1.302020E-11,-2.686931E-14,-3.615091E-18,-1.323162E-11
7.328689E-11,-1.502910E-13,-1.130175E-16,-7.396699E-11
3.043542E-10,-6.234898E-13,-1.941242E-15,-3.062938E-10
9.831522E-10,-2.013498E-12,-2.014082E-14,-9.841519E-10
2.603030E-09,-5.330013E-12,-1.394700E-13,-2.573165E-09
5.865331E-09,-1.200636E-11,-6.911608E-13,-5.644860E-09
1.061533E-08,-2.171948E-11,-2.187668E-12,-9.796337E-09
1.536533E-08,-3.142225E-11,-4.435866E-12,-1.355457E-08
2.011533E-08,-4.111388E-11,-7.356268E-12,-1.690920E-08
2.486533E-08,-5.079391E-11,-1.086671E-11,-1.985113E-08
2.961533E-08,-6.046226E-11,-1.488435E-11,-2.237079E-08
3.436533E-08,-7.011902E-11,-1.932595E-11,-2.445738E-08
3.911533E-08,-7.976435E-11,-2.410804E-11,-2.610083E-08
4.386533E-08,-8.939844E-11,-2.914758E-11,-2.729840E-08
4.861533E-08,-9.902138E-11,-3.436433E-11,-2.806592E-08
5.336533E-08,-1.086332E-10,-3.968510E-11,-2.844999E-08
5.811533E-08,-1.182340E-10,-4.504937E-11,-2.853333E-08
6.286533E-08,-1.278237E-10,-5.041427E-11,-2.842649E-08
6.761533E-08,-1.374023E-10,-5.575677E-11,-2.824498E-08
7.236533E-08,-1.469699E-10,-6.107146E-11,-2.808100E-08
7.711533E-08,-1.565264E-10,-6.636457E-11,-2.798343E-08
8.186533E-08,-1.660720E-10,-7.164667E-11,-2.795611E-08
8.661533E-08,-1.756067E-10,-7.692664E-11,-2.797372E-08
9.136533E-08,-1.851306E-10,-8.220898E-11,-2.800441E-08
9.611533E-08,-1.946436E-10,-8.749420E-11,-2.802673E-08
1.008653E-07,-2.041458E-10,-9.278072E-11,-2.803463E-08
1.056153E-07,-2.136374E-10,-9.806681E-11,-2.803257E-08
1.103653E-07,-2.231182E-10,-1.033516E-10,-2.802762E-08
1.151153E-07,-2.325883E-10,-1.086349E-10,-2.802425E-08
1.198653E-07,-2.420477E-10,-1.139171E-10,-2.802337E-08
1.246153E-07,-2.514966E-10,-1.191983E-10,-2.802390E-08
1.293653E-07,-2.609349E-10,-1.244788E-10,-2.802461E-08
1.341153E-07,-2.703627E-10,-1.297585E-10,-2.802497E-08
1.388653E-07,-2.797800E-10,-1.350373E-10,-2.802499E-08
1.436153E-07,-2.891868E-10,-1.403152E-10,-2.802490E-08
1.483653E-07,-2.985832E-10,-1.455923E-10,-2.802484E-08
1.531153E-07,-3.079692E-10,-1.508686E-10,-2.802484E-08
1.578653E-07,-3.173449E-10,-1.561440E-10,-2.802486E-08
1.626153E-07,-3.267102E-10,-1.614186E-10,-2.802488E-08
1.673653E-07,-3.360653E-10,-1.666923E-10,-2.802489E-08
1.721153E-07,-3.454101E-10,-1.719652E-10,-2.802490E-08
1.768653E-07,-3.547447E-10,-1.772373E-10,-2.802491E-08
1.816153E-07,-3.640691E-10,-1.825086E-10,-2.802492E-08
1.863653E-07,-3.733834E-10,-1.877791E-10,-2.802494E-08
1.911153E-07,-3.826875E-10,-1.930487E-10,-2.802495E-08
1.958653E-07,-3.919816E-10,-1.983175E-10,-2.802496E-08
2.006153E-07,-4.012656E-10,-2.035856E-10,-2.802497E-08
2.053653E-07,-4.105396E-10,-2.088528E-10,-2.802498E-08
2.101153E-07,-4.198037E-10,-2.141191E-10,-2.802499E-08
2.148653E-07,-4.290577E-10,-2.193847E-10,-2.802500E-08
2.196153E-07,-4.383019E-10,-2.246495E-10,-2.802501E-08
2.243653E-07,-4.475362E-10,-2.299134E-10,-2.802502E-08
2.291153E-07,-4.567606E-10,-2.351766E-10,-2.802504E-08
2.338653E-07,-4.659752E-10,-2.404389E-10,-2.802505E-08
2.386153E-07,-4.751799E-10,-2.457004E-10,-2.802506E-08
2.433653E-07,-4.843750E-10,-2.509610E-10,-2.802507E-08
2.481153E-07,-4.935603E-10,-2.562209E-10,-2.802508E-08
2.528653E-07,-5.027359E-10,-2.614799E-10,-2.802509E-08
2.576153E-07,-5.119018E-10,-2.667380E-10,-2.802510E-08
2.623653E-07,-5.210581E-10,-2.719954E-10,-2.802511E-08
2.671153E-07,-5.302048E-10,-2.772518E-10,-2.802512E-08
2.718653E-07,-5.393419E-10,-2.825075E-10,-2.802514E-08
2.766153E-07,-5.484694E-10,-2.877623E-10,-2.802515E-08
2.813653E-07,-5.575874E-10,-2.930162E-10,-2.802516E-08
2.861153E-07,-5.666960E-10,-2.982693E-10,-2.802517E-08
2.908653E-07,-5.757950E-10,-3.035215E-10,-2.802518E-08
2.956153E-07,-5.848847E-10,-3.087729E-10,-2.802519E-08
3.003653E-07,-5.939649E-10,-3.140233E-10,-2.802520E-08
3.051153E-07,-6.030358E-10,-3.192730E-10,-2.802521E-08
3.098653E-07,-6.120973E-10,-3.245217E-10,-2.802522E-08
3.146153E-07,-6.211495E-10,-3.297696E-10,-2.802523E-08
3.193653E-07,-6.301924E-10,-3.350166E-10,-2.802525E-08
3.241153E-07,-6.392260E-10,-3.402628E-10,-2.802526E-08
3.288653E-07,-6.482504E-10,-3.455080E-10,-2.802527E-08
3.336153E-07,-6.572656E-10,-3.507524E-10,-2.802528E-08
3.383653E-07,-6.662716E-10,-3.559959E-10,-2.802529E-08
3.431153E-07,-6.752685E-10,-3.612385E-10,-2.802530E-08
3.478653E-07,-6.842562E-10,-3.664802E-10,-2.802531E-08
3.526153E-07,-6.932348E-10,-3.717211E-10,-2.802532E-08
3.573653E-07,-7.022044E-10,-3.769610E-10,-2.802533E-08
3.621153E-07,-7.111649E-10,-3.822001E-10,-2.802535E-08
3.668653E-07,-7.201164E-10,-3.874383E-10,-2.802536E-08
3.716153E-07,-7.290589E-10,-3.926756E-10,-2.802537E-08
3.763653E-07,-7.379924E-10,-3.979120E-10,-2.802538E-08
3.811153E-07,-7.469170E-10,-4.031475E-10,-2.802539E-08
