t (s),I [Positive ions] (A),I [Negative ions] (A),I [Electrons] (A)
0.000000E+00,6.038817E-13,1.237649E-18,2.971679E-10
1.000000E-13,1.207763E-12,3.300391E-18,5.943333E-10
2.000000E-13,1.811645E-12,6.463249E-18,8.914955E-10
3.000000E-13,2.415527E-12,1.081789E-17,1.188654E-09
4.000000E-13,3.019408E-12,1.639485E-17,1.485809E-09
1.778147E-12,1.134178E-11,2.192446E-16,5.580674E-09
1.301729E-11,7.921293E-11,1.064191E-14,3.895096E-08
7.325901E-11,4.430015E-10,3.318910E-13,2.171391E-07
3.040950E-10,1.836976E-09,5.652838E-12,8.901262E-07
9.806800E-10,5.922727E-09,5.730142E-11,2.779870E-06
2.583260E-09,1.560026E-08,3.771084E-10,6.829415E-06
5.793685E-09,3.498665E-08,1.731635E-09,1.352304E-05
1.054368E-08,6.366849E-08,5.120134E-09,2.088444E-05
1.529368E-08,9.234844E-08,9.771977E-09,2.603743E-05
2.004368E-08,1.210263E-07,1.534301E-08,2.961224E-05
2.479368E-08,1.497017E-07,2.155951E-08,3.205241E-05
2.954368E-08,1.783746E-07,2.821181E-08,3.366952E-05
3.429368E-08,2.070446E-07,3.514198E-08,3.468777E-05
3.904368E-08,2.357117E-07,4.223268E-08,3.527344E-05
4.379368E-08,2.643757E-07,4.939871E-08,3.555380E-05
4.854368E-08,2.930362E-07,5.658064E-08,3.562897E-05
5.329368E-08,3.216933E-07,6.373995E-08,3.557894E-05
5.804368E-08,3.503466E-07,7.085480E-08,3.546657E-05
6.279368E-08,3.789960E-07,7.791595E-08,3.533787E-05
6.754368E-08,4.076412E-07,8.492280E-08,3.522150E-05
7.229368E-08,4.362821E-07,9.187950E-08,3.512950E-05
7.704368E-08,4.649184E-07,9.879125E-08,3.506081E-05
8.179368E-08,4.935498E-07,1.056620E-07,3.500693E-05
8.654368E-08,5.221762E-07,1.124935E-07,3.495796E-05
9.129368E-08,5.507973E-07,1.192857E-07,3.490689E-05
9.604368E-08,5.794130E-07,1.260377E-07,3.485101E-05
1.007937E-07,6.080230E-07,1.327480E-07,3.479090E-05
1.055437E-07,6.366271E-07,1.394158E-07,3.472841E-05
1.102937E-07,6.652250E-07,1.460402E-07,3.466515E-05
1.150437E-07,6.938166E-07,1.526211E-07,3.460176E-05
1.197937E-07,7.224016E-07,1.591583E-07,3.453817E-05
1.245437E-07,7.509798E-07,1.656515E-07,3.447407E-05
1.292937E-07,7.795510E-07,1.721005E-07,3.440921E-05
1.340437E-07,8.081148E-07,1.785048E-07,3.434355E-05
1.387937E-07,8.366711E-07,1.848643E-07,3.427710E-05
1.435437E-07,8.652197E-07,1.911787E-07,3.420992E-05
1.482937E-07,8.937602E-07,1.974476E-07,3.414204E-05
1.530437E-07,9.222925E-07,2.036708E-07,3.407349E-05
1.577937E-07,9.508163E-07,2.098479E-07,3.400431E-05
1.625437E-07,9.793314E-07,2.159787E-07,3.393448E-05
1.672937E-07,1.007837E-06,2.220631E-07,3.386400E-05
1.720437E-07,1.036334E-06,2.281007E-07,3.379285E-05
1.767937E-07,1.064822E-06,2.340912E-07,3.372102E-05
1.815437E-07,1.093299E-06,2.400346E-07,3.364852E-05
1.862937E-07,1.121767E-06,2.459306E-07,3.357534E-05
1.910437E-07,1.150224E-06,2.517791E-07,3.350147E-05
1.957937E-07,1.178671E-06,2.575800E-07,3.342693E-05
2.005437E-07,1.207107E-06,2.633329E-07,3.335175E-05
2.052937E-07,1.235532E-06,2.690378E-07,3.327594E-05
2.100437E-07,1.263945E-06,2.746942E-07,3.319957E-05
2.147937E-07,1.292347E-06,2.803021E-07,3.312268E-05
2.195437E-07,1.320738E-06,2.858612E-07,3.304530E-05
2.242937E-07,1.349116E-06,2.913713E-07,3.296742E-05
2.290437E-07,1.377482E-06,2.968323E-07,3.288901E-05
2.337937E-07,1.405835E-06,3.022443E-07,3.281006E-05
2.385437E-07,1.434175E-06,3.076071E-07,3.273059E-05
2.432937E-07,1.462502E-06,3.129208E-07,3.265064E-05
2.480437E-07,1.490816E-06,3.181851E-07,3.257024E-05
2.527937E-07,1.519116E-06,3.234001E-07,3.248942E-05
2.575437E-07,1.547401E-06,3.285658E-07,3.240820E-05
2.622937E-07,1.575673E-06,3.336820E-07,3.232659E-05
2.670437E-07,1.603930E-06,3.387487E-07,3.224460E-05
2.717937E-07,1.632173E-06,3.437659E-07,3.216222E-05
2.765437E-07,1.660400E-06,3.487336E-07,3.207948E-05
2.812937E-07,1.688612E-06,3.536517E-07,3.199642E-05
2.860437E-07,1.716808E-06,3.585204E-07,3.191304E-05
2.907937E-07,1.744989E-06,3.633395E-07,3.182940E-05
2.955437E-07,1.773153E-06,3.681091E-07,3.174549E-05
3.002937E-07,1.801301E-06,3.728294E-07,3.166134E-05
3.050437E-07,1.829432E-06,3.775004E-07,3.157695E-05
3.097937E-07,1.857547E-06,3.821222E-07,3.149236E-05
3.145437E-07,1.885644E-06,3.866950E-07,3.140758E-05
3.192937E-07,1.913723E-06,3.912187E-07,3.132261E-05
3.240437E-07,1.941785E-06,3.956937E-07,3.123750E-05
3.287937E-07,1.969829E-06,4.001199E-07,3.115225E-05
3.335437E-07,1.997854E-06,4.044976E-07,3.106688E-05
3.382937E-07,2.025861E-06,4.088269E-07,3.098143E-05
3.430437E-07,2.053849E-06,4.131079E-07,3.089588E-05
3.477937E-07,2.081818E-06,4.173409E-07,3.081028E-05
3.525437E-07,2.109767E-06,4.215260E-07,3.072466E-05
3.572937E-07,2.137697E-06,4.256634E-07,3.063907E-05
3.620437E-07,2.165607E-06,4.297535E-07,3.055354E-05
3.667937E-07,2.193496E-06,4.337963E-07,3.046806E-05
3.715437E-07,2.221366E-06,4.377920E-07,3.038264E-05
3.762937E-07,2.249214E-06,4.417410E-07,3.029733E-05
3.810437E-07,2.277041E-06,4.456432E-07,3.021210E-05
3.857937E-07,2.304848E-06,4.494991E-07,3.012700E-05
3.905437E-07,2.332632E-06,4.533088E-07,3.004204E-05
3.952937E-07,2.360395E-06,4.570725E-07,2.995722E-05
4.000437E-07,2.388136E-06,4.607907E-07,2.987255E-05
4.047937E-07,2.415855E-06,4.644637E-07,2.978805E-05
4.095437E-07,2.443551E-06,4.680918E-07,2.970374E-05
4.142937E-07,2.471224E-06,4.716754E-07,2.961960E-05
4.190437E-07,2.498875E-06,4.752149E-07,2.953565E-05
4.237937E-07,2.526501E-06,4.787106E-07,2.945190E-05
4.285437E-07,2.554105E-06,4.821627E-07,2.936839E-05
4.332937E-07,2.581684E-06,4.855716E-07,2.928514E-05
4.380437E-07,2.609239E-06,4.889377E-07,2.920218E-05
4.427937E-07,2.636770E-06,4.922612E-07,2.911951E-05
4.475437E-07,2.664277E-06,4.955425E-07,2.903714E-05
4.522937E-07,2.691758E-06,4.987820E-07,2.895508E-05
4.570437E-07,2.719215E-06,5.019799E-07,2.887331E-05
4.617937E-07,2.746646E-06,5.051367E-07,2.879187E-05
4.665437E-07,2.774051E-06,5.082527E-07,2.871076E-05
4.712937E-07,2.801431E-06,5.113283E-07,2.863001E-05
4.760437E-07,2.828785E-06,5.143640E-07,2.854960E-05
4.807937E-07,2.856112E-06,5.173599E-07,2.846957E-05
4.855437E-07,2.883412E-06,5.203167E-07,2.838989E-05
4.902937E-07,2.910686E-06,5.232345E-07,2.831059E-05
4.950437E-07,2.937933E-06,5.261137E-07,2.823169E-05
4.997937E-07,2.965152E-06,5.289548E-07,2.815321E-05
5.045437E-07,2.992344E-06,5.317581E-07,2.807514E-05
5.092937E-07,3.019508E-06,5.345239E-07,2.799752E-05
5.140437E-07,3.046645E-06,5.372527E-07,2.792030E-05
5.187937E-07,3.073752E-06,5.399448E-07,2.784351E-05
5.235437E-07,3.100832E-06,5.426006E-07,2.776714E-05
5.282937E-07,3.127882E-06,5.452205E-07,2.769119E-05
5.330437E-07,3.154904E-06,5.478050E-07,2.761570E-05
5.377937E-07,3.181896E-06,5.503543E-07,2.754063E-05
5.425437E-07,3.208859E-06,5.528690E-07,2.746603E-05
5.472937E-07,3.235793E-06,5.553493E-07,2.739190E-05
5.520437E-07,3.262696E-06,5.577958E-07,2.731823E-05
5.567937E-07,3.289570E-06,5.602088E-07,2.724500E-05
5.615437E-07,3.316413E-06,5.625887E-07,2.717224E-05
5.662937E-07,3.343225E-06,5.649359E-07,2.709994E-05
5.710437E-07,3.370007E-06,5.672508E-07,2.702810E-05
5.757937E-07,3.396758E-06,5.695338E-07,2.695672E-05
5.805437E-07,3.423477E-06,5.717852E-07,2.688579E-05
5.852937E-07,3.450165E-06,5.740055E-07,2.681533E-05
5.900437E-07,3.476822E-06,5.761951E-07,2.674533E-05
5.947937E-07,3.503446E-06,5.783542E-07,2.667576E-05
5.995437E-07,3.530039E-06,5.804834E-07,2.660667E-05
6.042937E-07,3.556599E-06,5.825830E-07,2.653805E-05
6.090437E-07,3.583126E-06,5.846533E-07,2.646989E-05
6.137937E-07,3.609621E-06,5.866948E-07,2.640221E-05
6.185437E-07,3.636083E-06,5.887078E-07,2.633499E-05
6.232937E-07,3.662512E-06,5.906928E-07,2.626824E-05
6.280437E-07,3.688907E-06,5.926500E-07,2.620194E-05
6.327937E-07,3.715269E-06,5.945799E-07,2.613614E-05
6.375437E-07,3.741597E-06,5.964829E-07,2.607080E-05
6.422937E-07,3.767891E-06,5.983593E-07,2.600591E-05
6.470437E-07,3.794150E-06,6.002095E-07,2.594148E-05
6.517937E-07,3.820376E-06,6.020338E-07,2.587751E-05
6.565437E-07,3.846567E-06,6.038327E-07,2.581399E-05
6.612937E-07,3.872723E-06,6.056065E-07,2.575094E-05
6.660437E-07,3.898844E-06,6.073556E-07,2.568831E-05
6.707937E-07,3.924929E-06,6.090803E-07,2.562614E-05
6.755437E-07,3.950980E-06,6.107811E-07,2.556444E-05
6.802937E-07,3.976995E-06,6.124582E-07,2.550315E-05
6.850437E-07,4.002974E-06,6.141122E-07,2.544231E-05
6.897937E-07,4.028917E-06,6.157432E-07,2.538192E-05
6.945437E-07,4.054824E-06,6.173517E-07,2.532196E-05
6.992937E-07,4.080695E-06,6.189381E-07,2.526241E-05
7.040437E-07,4.106529E-06,6.205026E-07,2.520334E-05
7.087937E-07,4.132326E-06,6.220458E-07,2.514465E-05
7.135437E-07,4.158087E-06,6.235679E-07,2.508641E-05
7.182937E-07,4.183810E-06,6.250692E-07,2.502859E-05
7.230437E-07,4.209496E-06,6.265502E-07,2.497114E-05
7.277937E-07,4.235145E-06,6.280111E-07,2.491414E-05
7.325437E-07,4.260756E-06,6.294524E-07,2.485753E-05
7.372937E-07,4.286329E-06,6.308743E-07,2.480132E-05
7.420437E-07,4.311865E-06,6.322772E-07,2.474554E-05
7.467937E-07,4.337362E-06,6.336615E-07,2.469016E-05
7.515437E-07,4.362821E-06,6.350275E-07,2.463516E-05
7.562937E-07,4.388241E-06,6.363755E-07,2.458057E-05
7.610437E-07,4.413623E-06,6.377058E-07,2.452639E-05
7.657937E-07,4.438966E-06,6.390189E-07,2.447259E-05
7.705437E-07,4.464270E-06,6.403149E-07,2.441918E-05
7.752937E-07,4.489534E-06,6.415943E-07,2.436615E-05
7.800437E-07,4.514760E-06,6.428573E-07,2.431351E-05
7.847937E-07,4.539945E-06,6.441043E-07,2.426127E-05
7.895437E-07,4.565092E-06,6.453356E-07,2.420937E-05
7.942937E-07,4.590198E-06,6.465515E-07,2.415788E-05
7.990437E-07,4.615265E-06,6.477524E-07,2.410678E-05
8.037937E-07,4.640291E-06,6.489386E-07,2.405608E-05
8.085437E-07,4.665277E-06,6.501103E-07,2.400575E-05
8.132937E-07,4.690223E-06,6.512679E-07,2.395581E-05
8.180437E-07,4.715128E-06,6.524117E-07,2.390626E-05
8.227937E-07,4.739992E-06,6.535421E-07,2.385708E-05
8.275437E-07,4.764815E-06,6.546592E-07,2.380825E-05
8.322937E-07,4.789597E-06,6.557635E-07,2.375981E-05
8.370437E-07,4.814339E-06,6.568552E-07,2.371173E-05
8.417937E-07,4.839038E-06,6.579346E-07,2.366400E-05
8.465437E-07,4.863697E-06,6.590021E-07,2.361662E-05
8.512937E-07,4.888314E-06,6.600578E-07,2.356960E-05
8.560437E-07,4.912889E-06,6.611021E-07,2.352292E-05
8.607937E-07,4.937422E-06,6.621353E-07,2.347658E-05
8.655437E-07,4.961913E-06,6.631576E-07,2.343058E-05
8.702937E-07,4.986362E-06,6.641694E-07,2.338493E-05
8.750437E-07,5.010768E-06,6.651709E-07,2.333962E-05
8.797937E-07,5.035132E-06,6.661625E-07,2.329461E-05
8.845437E-07,5.059454E-06,6.671443E-07,2.324996E-05
8.892937E-07,5.083733E-06,6.681166E-07,2.320563E-05
8.940437E-07,5.107969E-06,6.690798E-07,2.316162E-05
8.987937E-07,5.132162E-06,6.700340E-07,2.311794E-05
