t (s),I [Positive ions] (A),I [Negative ions] (A),I [Electrons] (A)
0.000000E+00,-1.012032E-16,-2.075749E-22,-4.984463E-14
1.000000E-13,-2.024063E-16,-5.535329E-22,-9.968917E-14
2.000000E-13,-3.036095E-16,-1.084001E-21,-1.495336E-13
3.000000E-13,-4.048127E-16,-1.814355E-21,-1.993779E-13
4.000000E-13,-5.060158E-16,-2.749719E-21,-2.492221E-13
1.778325E-12,-1.900924E-15,-3.678007E-20,-9.362233E-13
1.302020E-11,-1.327804E-14,-1.786474E-18,-6.538687E-12
7.328689E-11,-7.426948E-14,-5.585000E-17,-3.655236E-11
3.043542E-10,-3.081108E-13,-9.593062E-16,-1.513616E-10
9.831522E-10,-9.950128E-13,-9.953017E-15,-4.863396E-10
2.603030E-09,-2.633940E-12,-6.892209E-14,-1.271584E-09
5.865331E-09,-5.933199E-12,-3.415518E-13,-2.789528E-09
1.061533E-08,-1.073314E-11,-1.081083E-12,-4.841069E-09
1.536533E-08,-1.552798E-11,-2.192078E-12,-6.698282E-09
2.011533E-08,-2.031730E-11,-3.635257E-12,-8.356045E-09
2.486533E-08,-2.510090E-11,-5.370020E-12,-9.809862E-09
2.961533E-08,-2.987872E-11,-7.355418E-12,-1.105501E-08
3.436533E-08,-3.465081E-11,-9.550333E-12,-1.208614E-08
3.911533E-08,-3.941726E-11,-1.191351E-11,-1.289829E-08
4.386533E-08,-4.417815E-11,-1.440391E-11,-1.349010E-08
4.861533E-08,-4.893353E-11,-1.698188E-11,-1.386938E-08
5.336533E-08,-5.368343E-11,-1.961125E-11,-1.405918E-08
5.811533E-08,-5.842786E-11,-2.226212E-11,-1.410037E-08
6.286533E-08,-6.316681E-11,-2.491331E-11,-1.404756E-08
6.761533E-08,-6.790029E-11,-2.755343E-11,-1.395786E-08
7.236533E-08,-7.262830E-11,-3.017980E-11,-1.387683E-08
7.711533E-08,-7.735087E-11,-3.279551E-11,-1.382860E-08
8.186533E-08,-8.206803E-11,-3.540578E-11,-1.381510E-08
8.661533E-08,-8.677980E-11,-3.801499E-11,-1.382380E-08
9.136533E-08,-9.148621E-11,-4.062538E-11,-1.383897E-08
9.611533E-08,-9.618728E-11,-4.323719E-11,-1.384999E-08
1.008653E-07,-1.008830E-10,-4.584964E-11,-1.385390E-08
1.056153E-07,-1.055735E-10,-4.846188E-11,-1.385287E-08
1.103653E-07,-1.102586E-10,-5.107347E-11,-1.385042E-08
1.151153E-07,-1.149385E-10,-5.368435E-11,-1.384875E-08
1.198653E-07,-1.196130E-10,-5.629465E-11,-1.384832E-08
1.246153E-07,-1.242824E-10,-5.890450E-11,-1.384858E-08
1.293653E-07,-1.289465E-10,-6.151396E-11,-1.384893E-08
1.341153E-07,-1.336055E-10,-6.412302E-11,-1.384910E-08
1.388653E-07,-1.382592E-10,-6.673167E-11,-1.384911E-08
1.436153E-07,-1.429078E-10,-6.933990E-11,-1.384906E-08
1.483653E-07,-1.475512E-10,-7.194770E-11,-1.384903E-08
1.531153E-07,-1.521895E-10,-7.455508E-11,-1.384902E-08
