t (s),I [Positive ions] (A),I [Negative ions] (A),I [Electrons] (A)
0.000000E+00,4.146547E-16,8.498303E-22,2.040500E-13
1.000000E-13,8.293093E-16,2.266210E-21,4.080983E-13
2.000000E-13,1.243964E-15,4.437982E-21,6.121444E-13
3.000000E-13,1.658619E-15,7.428089E-21,8.161880E-13
4.000000E-13,2.073273E-15,1.125751E-20,1.020229E-12
1.778147E-12,7.787823E-15,1.505441E-19,3.831963E-12
1.301729E-11,5.439147E-14,7.307256E-18,2.674563E-11
7.325901E-11,3.041865E-13,2.278926E-16,1.490983E-10
3.040950E-10,1.261357E-12,3.881515E-15,6.112041E-10
9.806800E-10,4.066834E-12,3.934595E-14,1.908795E-09
2.583260E-09,1.071191E-11,2.589411E-13,4.689415E-09
5.793683E-09,2.402362E-11,1.189038E-12,9.285718E-09
1.054368E-08,4.371838E-11,3.516149E-12,1.434192E-08
1.529368E-08,6.341231E-11,6.714085E-12,1.788684E-08
2.004368E-08,8.310540E-11,1.055146E-11,2.035538E-08
2.479368E-08,1.027976E-10,1.484607E-11,2.205255E-08
2.954368E-08,1.224889E-10,1.945937E-11,2.319136E-08
3.429368E-08,1.421794E-10,2.428722E-11,2.392406E-08
3.904368E-08,1.618689E-10,2.925194E-11,2.436279E-08
4.379368E-08,1.815574E-10,3.429643E-11,2.459295E-08
4.854368E-08,2.012450E-10,3.938004E-11,2.468177E-08
5.329368E-08,2.209317E-10,4.447550E-11,2.468336E-08
5.804368E-08,2.406173E-10,4.956659E-11,2.464096E-08
6.279368E-08,2.603020E-10,5.464580E-11,2.458692E-08
6.754368E-08,2.799857E-10,5.971182E-11,2.454195E-08
7.229368E-08,2.996684E-10,6.476693E-11,2.451512E-08
7.704368E-08,3.193501E-10,6.981463E-11,2.450597E-08
8.179368E-08,3.390307E-10,7.485789E-11,2.450837E-08
8.654368E-08,3.587104E-10,7.989842E-11,2.451504E-08
9.129368E-08,3.783891E-10,8.493665E-11,2.452075E-08
9.604368E-08,3.980667E-10,8.997228E-11,2.452349E-08
1.007937E-07,4.177433E-10,9.500482E-11,2.452371E-08
1.055437E-07,4.374189E-10,1.000339E-10,2.452280E-08
1.102937E-07,4.570935E-10,1.050595E-10,2.452191E-08
1.150437E-07,4.767671E-10,1.100816E-10,2.452149E-08
1.197937E-07,4.964396E-10,1.151002E-10,2.452146E-08
1.245437E-07,5.161112E-10,1.201154E-10,2.452156E-08
1.292937E-07,5.357817E-10,1.251273E-10,2.452165E-08
1.340437E-07,5.554512E-10,1.301359E-10,2.452165E-08
1.387937E-07,5.751197E-10,1.351410E-10,2.452162E-08
1.435437E-07,5.947871E-10,1.401428E-10,2.452158E-08
1.482937E-07,6.144536E-10,1.451412E-10,2.452155E-08
1.530437E-07,6.341190E-10,1.501363E-10,2.452152E-08
1.577937E-07,6.537834E-10,1.551280E-10,2.452150E-08
1.625437E-07,6.734468E-10,1.601164E-10,2.452148E-08
1.672937E-07,6.931091E-10,1.651014E-10,2.452146E-08
1.720437E-07,7.127705E-10,1.700831E-10,2.452143E-08
1.767937E-07,7.324308E-10,1.750614E-10,2.452141E-08
1.815437E-07,7.520901E-10,1.800364E-10,2.452139E-08
1.862937E-07,7.717484E-10,1.850081E-10,2.452136E-08
1.910437E-07,7.914057E-10,1.899765E-10,2.452134E-08
1.957937E-07,8.110619E-10,1.949415E-10,2.452132E-08
2.005437E-07,8.307171E-10,1.999032E-10,2.452129E-08
2.052937E-07,8.503714E-10,2.048617E-10,2.452127E-08
2.100437E-07,8.700245E-10,2.098168E-10,2.452125E-08
2.147937E-07,8.896767E-10,2.147686E-10,2.452122E-08
2.195437E-07,9.093279E-10,2.197171E-10,2.452120E-08
2.242937E-07,9.289780E-10,2.246623E-10,2.452118E-08
2.290437E-07,9.486271E-10,2.296042E-10,2.452115E-08
2.337937E-07,9.682752E-10,2.345428E-10,2.452113E-08
2.385437E-07,9.879223E-10,2.394781E-10,2.452110E-08
2.432937E-07,1.007568E-09,2.444102E-10,2.452108E-08
2.480437E-07,1.027213E-09,2.493390E-10,2.452106E-08
2.527937E-07,1.046857E-09,2.542645E-10,2.452103E-08
2.575437E-07,1.066500E-09,2.591868E-10,2.452101E-08
2.622937E-07,1.086142E-09,2.641057E-10,2.452099E-08
2.670437E-07,1.105783E-09,2.690215E-10,2.452096E-08
2.717937E-07,1.125423E-09,2.739339E-10,2.452094E-08
2.765437E-07,1.145062E-09,2.788432E-10,2.452092E-08
2.812937E-07,1.164700E-09,2.837491E-10,2.452089E-08
2.860437E-07,1.184337E-09,2.886519E-10,2.452087E-08
2.907937E-07,1.203973E-09,2.935513E-10,2.452085E-08
2.955437E-07,1.223608E-09,2.984476E-10,2.452082E-08
3.002937E-07,1.243241E-09,3.033406E-10,2.452080E-08
3.050437E-07,1.262874E-09,3.082304E-10,2.452077E-08
3.097937E-07,1.282506E-09,3.131170E-10,2.452075E-08
3.145437E-07,1.302137E-09,3.180003E-10,2.452073E-08
3.192937E-07,1.321766E-09,3.228805E-10,2.452070E-08
3.240437E-07,1.341395E-09,3.277574E-10,2.452068E-08
3.287937E-07,1.361023E-09,3.326311E-10,2.452066E-08
3.335437E-07,1.380649E-09,3.375016E-10,2.452063E-08
3.382937E-07,1.400275E-09,3.423689E-10,2.452061E-08
3.430437E-07,1.419900E-09,3.472330E-10,2.452059E-08
3.477937E-07,1.439523E-09,3.520939E-10,2.452056E-08
3.525437E-07,1.459146E-09,3.569517E-10,2.452054E-08
3.572937E-07,1.478767E-09,3.618062E-10,2.452051E-08
3.620437E-07,1.498388E-09,3.666575E-10,2.452049E-08
3.667937E-07,1.518007E-09,3.715057E-10,2.452047E-08
3.715437E-07,1.537625E-09,3.763507E-10,2.452044E-08
3.762937E-07,1.557243E-09,3.811925E-10,2.452042E-08
3.810437E-07,1.576859E-09,3.860312E-10,2.452040E-08
3.857937E-07,1.596475E-09,3.908667E-10,2.452037E-08
3.905437E-07,1.616089E-09,3.956990E-10,2.452035E-08
3.952937E-07,1.635702E-09,4.005282E-10,2.452032E-08
4.000437E-07,1.655315E-09,4.053542E-10,2.452030E-08
4.047937E-07,1.674926E-09,4.101771E-10,2.452028E-08
4.095437E-07,1.694536E-09,4.149968E-10,2.452025E-08
4.142937E-07,1.714145E-09,4.198134E-10,2.452023E-08
4.190437E-07,1.733753E-09,4.246269E-10,2.452021E-08
4.237937E-07,1.753360E-09,4.294372E-10,2.452018E-08
4.285437E-07,1.772967E-09,4.342443E-10,2.452016E-08
4.332937E-07,1.792572E-09,4.390484E-10,2.452013E-08
4.380437E-07,1.812176E-09,4.438493E-10,2.452011E-08
4.427937E-07,1.831779E-09,4.486471E-10,2.452009E-08
4.475437E-07,1.851381E-09,4.534418E-10,2.452006E-08
4.522937E-07,1.870982E-09,4.582334E-10,2.452004E-08
4.570437E-07,1.890581E-09,4.630218E-10,2.452001E-08
4.617937E-07,1.910180E-09,4.678072E-10,2.451999E-08
4.665437E-07,1.929778E-09,4.725894E-10,2.451997E-08
4.712937E-07,1.949375E-09,4.773685E-10,2.451994E-08
4.760437E-07,1.968971E-09,4.821446E-10,2.451992E-08
4.807937E-07,1.988566E-09,4.869175E-10,2.451990E-08
4.855437E-07,2.008159E-09,4.916874E-10,2.451987E-08
4.902937E-07,2.027752E-09,4.964542E-10,2.451985E-08
4.950437E-07,2.047344E-09,5.012178E-10,2.451982E-08
4.997937E-07,2.066934E-09,5.059784E-10,2.451980E-08
5.045437E-07,2.086524E-09,5.107360E-10,2.451978E-08
5.092937E-07,2.106113E-09,5.154904E-10,2.451975E-08
5.140437E-07,2.125700E-09,5.202418E-10,2.451973E-08
5.187937E-07,2.145287E-09,5.249901E-10,2.451970E-08
5.235437E-07,2.164872E-09,5.297354E-10,2.451968E-08
5.282937E-07,2.184456E-09,5.344776E-10,2.451966E-08
5.330437E-07,2.204040E-09,5.392167E-10,2.451963E-08
5.377937E-07,2.223622E-09,5.439528E-10,2.451961E-08
5.425437E-07,2.243204E-09,5.486858E-10,2.451958E-08
5.472937E-07,2.262784E-09,5.534158E-10,2.451956E-08
5.520437E-07,2.282363E-09,5.581427E-10,2.451954E-08
5.567937E-07,2.301941E-09,5.628666E-10,2.451951E-08
5.615437E-07,2.321519E-09,5.675875E-10,2.451949E-08
5.662937E-07,2.341095E-09,5.723053E-10,2.451947E-08
5.710437E-07,2.360670E-09,5.770201E-10,2.451944E-08
5.757937E-07,2.380244E-09,5.817318E-10,2.451942E-08
5.805437E-07,2.399817E-09,5.864406E-10,2.451939E-08
5.852937E-07,2.419389E-09,5.911463E-10,2.451937E-08
5.900437E-07,2.438960E-09,5.958490E-10,2.451935E-08
5.947937E-07,2.458530E-09,6.005487E-10,2.451932E-08
5.995437E-07,2.478099E-09,6.052453E-10,2.451930E-08
