t (s),I [Positive ions] (A),I [Negative ions] (A),I [Electrons] (A)
0.000000E+00,-2.714973E-15,-5.568604E-21,-1.337180E-12
1.000000E-13,-5.429946E-15,-1.484960E-20,-2.674357E-12
2.000000E-13,-8.144919E-15,-2.908045E-20,-4.011532E-12
3.000000E-13,-1.085989E-14,-4.867362E-20,-5.348702E-12
4.000000E-13,-1.357487E-14,-7.376659E-20,-6.685870E-12
1.778325E-12,-5.099601E-14,-9.866975E-19,-2.511602E-11
1.302020E-11,-3.562095E-13,-4.792567E-17,-1.754131E-10
7.328689E-11,-1.992424E-12,-1.498286E-15,-9.805888E-10
3.043542E-10,-8.265675E-12,-2.573527E-14,-4.060572E-09
9.831522E-10,-2.669317E-11,-2.670092E-13,-1.304701E-08
2.603030E-09,-7.066059E-11,-1.848970E-12,-3.411274E-08
5.865331E-09,-1.591697E-10,-9.162797E-12,-7.483455E-08
1.061533E-08,-2.879376E-10,-2.900216E-11,-1.298711E-07
1.536533E-08,-4.165684E-10,-5.880675E-11,-1.796944E-07
2.011533E-08,-5.450512E-10,-9.752276E-11,-2.241669E-07
2.486533E-08,-6.733805E-10,-1.440610E-10,-2.631678E-07
2.961533E-08,-8.015548E-10,-1.973227E-10,-2.965704E-07
3.436533E-08,-9.295753E-10,-2.562049E-10,-3.242313E-07
3.911533E-08,-1.057444E-09,-3.196004E-10,-3.460174E-07
4.386533E-08,-1.185164E-09,-3.864086E-10,-3.618924E-07
4.861533E-08,-1.312737E-09,-4.555655E-10,-3.720666E-07
5.336533E-08,-1.440162E-09,-5.261010E-10,-3.771579E-07
5.811533E-08,-1.567440E-09,-5.972126E-10,-3.782636E-07
6.286533E-08,-1.694572E-09,-6.683325E-10,-3.768487E-07
6.761533E-08,-1.821557E-09,-7.391552E-10,-3.744445E-07
7.236533E-08,-1.948395E-09,-8.096091E-10,-3.722729E-07
7.711533E-08,-2.075087E-09,-8.797771E-10,-3.709814E-07
8.186533E-08,-2.201635E-09,-9.497989E-10,-3.706212E-07
8.661533E-08,-2.328038E-09,-1.019792E-09,-3.708565E-07
9.136533E-08,-2.454297E-09,-1.089817E-09,-3.712651E-07
9.611533E-08,-2.580413E-09,-1.159880E-09,-3.715627E-07
1.008653E-07,-2.706386E-09,-1.229960E-09,-3.716693E-07
1.056153E-07,-2.832217E-09,-1.300035E-09,-3.716437E-07
1.103653E-07,-2.957906E-09,-1.370091E-09,-3.715798E-07
1.151153E-07,-3.083453E-09,-1.440129E-09,-3.715370E-07
1.198653E-07,-3.208860E-09,-1.510150E-09,-3.715271E-07
1.246153E-07,-3.334126E-09,-1.580160E-09,-3.715359E-07
1.293653E-07,-3.459252E-09,-1.650159E-09,-3.715472E-07
1.341153E-07,-3.584239E-09,-1.720147E-09,-3.715537E-07
1.388653E-07,-3.709087E-09,-1.790125E-09,-3.715558E-07
1.436153E-07,-3.833796E-09,-1.860090E-09,-3.715564E-07
1.483653E-07,-3.958368E-09,-1.930044E-09,-3.715574E-07
1.531153E-07,-4.082802E-09,-1.999987E-09,-3.715591E-07
1.578653E-07,-4.207099E-09,-2.069918E-09,-3.715612E-07
1.626153E-07,-4.331259E-09,-2.139839E-09,-3.715633E-07
1.673653E-07,-4.455283E-09,-2.209748E-09,-3.715653E-07
1.721153E-07,-4.579172E-09,-2.279646E-09,-3.715672E-07
1.768653E-07,-4.702925E-09,-2.349533E-09,-3.715691E-07
1.816153E-07,-4.826544E-09,-2.419409E-09,-3.715711E-07
1.863653E-07,-4.950028E-09,-2.489274E-09,-3.715730E-07
1.911153E-07,-5.073379E-09,-2.559128E-09,-3.715749E-07
1.958653E-07,-5.196596E-09,-2.628971E-09,-3.715769E-07
2.006153E-07,-5.319681E-09,-2.698804E-09,-3.715788E-07
2.053653E-07,-5.442632E-09,-2.768625E-09,-3.715808E-07
2.101153E-07,-5.565452E-09,-2.838436E-09,-3.715827E-07
2.148653E-07,-5.688140E-09,-2.908235E-09,-3.715846E-07
2.196153E-07,-5.810697E-09,-2.978024E-09,-3.715866E-07
2.243653E-07,-5.933123E-09,-3.047802E-09,-3.715885E-07
2.291153E-07,-6.055419E-09,-3.117569E-09,-3.715905E-07
2.338653E-07,-6.177585E-09,-3.187325E-09,-3.715924E-07
2.386153E-07,-6.299621E-09,-3.257070E-09,-3.715943E-07
2.433653E-07,-6.421528E-09,-3.326804E-09,-3.715963E-07
2.481153E-07,-6.543307E-09,-3.396526E-09,-3.715982E-07
2.528653E-07,-6.664957E-09,-3.466238E-09,-3.716001E-07
