t (s),I [Positive ions] (A),I [Negative ions] (A),I [Electrons] (A)
0.000000E+00,-1.111758E-14,-2.280296E-20,-5.475638E-12
1.000000E-13,-2.223517E-14,-6.080786E-20,-1.095127E-11
2.000000E-13,-3.335275E-14,-1.190820E-19,-1.642688E-11
3.000000E-13,-4.447034E-14,-1.993143E-19,-2.190248E-11
4.000000E-13,-5.558792E-14,-3.020679E-19,-2.737807E-11
1.778325E-12,-2.088243E-13,-4.040442E-18,-1.028480E-10
1.302020E-11,-1.458648E-12,-1.962515E-16,-7.183017E-10
7.328689E-11,-8.158808E-12,-6.135352E-15,-4.015428E-09
3.043542E-10,-3.384724E-11,-1.053837E-13,-1.662770E-08
9.831522E-10,-1.093063E-10,-1.093380E-12,-5.342641E-08
2.603030E-09,-2.893491E-10,-7.571375E-12,-1.396888E-07
5.865331E-09,-6.517862E-10,-3.752087E-11,-3.064411E-07
1.061533E-08,-1.179080E-09,-1.187614E-10,-5.318110E-07
1.536533E-08,-1.705811E-09,-2.408082E-10,-7.358319E-07
2.011533E-08,-2.231937E-09,-3.993458E-10,-9.179392E-07
2.486533E-08,-2.757433E-09,-5.899129E-10,-1.077637E-06
2.961533E-08,-3.282294E-09,-8.080097E-10,-1.214406E-06
3.436533E-08,-3.806525E-09,-1.049117E-09,-1.327659E-06
3.911533E-08,-4.330136E-09,-1.308701E-09,-1.416853E-06
4.386533E-08,-4.853135E-09,-1.582253E-09,-1.481841E-06
4.861533E-08,-5.375530E-09,-1.865415E-09,-1.523491E-06
5.336533E-08,-5.897323E-09,-2.154216E-09,-1.544337E-06
5.811533E-08,-6.418516E-09,-2.445371E-09,-1.548874E-06
6.286533E-08,-6.939108E-09,-2.736556E-09,-1.543101E-06
6.761533E-08,-7.459100E-09,-3.026522E-09,-1.533284E-06
7.236533E-08,-7.978494E-09,-3.314977E-09,-1.524423E-06
7.711533E-08,-8.497291E-09,-3.602261E-09,-1.519164E-06
8.186533E-08,-9.015495E-09,-3.888946E-09,-1.517716E-06
8.661533E-08,-9.533109E-09,-4.175513E-09,-1.518704E-06
9.136533E-08,-1.005014E-08,-4.462208E-09,-1.520400E-06
9.611533E-08,-1.056658E-08,-4.749057E-09,-1.521643E-06
1.008653E-07,-1.108244E-08,-5.035974E-09,-1.522104E-06
1.056153E-07,-1.159771E-08,-5.322867E-09,-1.522024E-06
1.103653E-07,-1.211241E-08,-5.609685E-09,-1.521787E-06
1.151153E-07,-1.262653E-08,-5.896424E-09,-1.521636E-06
1.198653E-07,-1.314008E-08,-6.183096E-09,-1.521620E-06
1.246153E-07,-1.365305E-08,-6.469718E-09,-1.521680E-06
1.293653E-07,-1.416545E-08,-6.756294E-09,-1.521751E-06
1.341153E-07,-1.467729E-08,-7.042825E-09,-1.521802E-06
1.388653E-07,-1.518856E-08,-7.329309E-09,-1.521835E-06
1.436153E-07,-1.569926E-08,-7.615743E-09,-1.521862E-06
1.483653E-07,-1.620940E-08,-7.902129E-09,-1.521890E-06
1.531153E-07,-1.671898E-08,-8.188467E-09,-1.521922E-06
1.578653E-07,-1.722800E-08,-8.474757E-09,-1.521955E-06
1.626153E-07,-1.773647E-08,-8.760999E-09,-1.521988E-06
1.673653E-07,-1.824438E-08,-9.047194E-09,-1.522020E-06
1.721153E-07,-1.875174E-08,-9.333343E-09,-1.522052E-06
1.768653E-07,-1.925855E-08,-9.619444E-09,-1.522085E-06
1.816153E-07,-1.976481E-08,-9.905499E-09,-1.522117E-06
1.863653E-07,-2.027053E-08,-1.019151E-08,-1.522149E-06
1.911153E-07,-2.077570E-08,-1.047747E-08,-1.522181E-06
1.958653E-07,-2.128032E-08,-1.076338E-08,-1.522214E-06
2.006153E-07,-2.178441E-08,-1.104925E-08,-1.522246E-06
2.053653E-07,-2.228796E-08,-1.133508E-08,-1.522278E-06
2.101153E-07,-2.279097E-08,-1.162085E-08,-1.522310E-06
2.148653E-07,-2.329345E-08,-1.190658E-08,-1.522342E-06
2.196153E-07,-2.379539E-08,-1.219227E-08,-1.522374E-06
2.243653E-07,-2.429680E-08,-1.247791E-08,-1.522407E-06
2.291153E-07,-2.479768E-08,-1.276350E-08,-1.522439E-06
2.338653E-07,-2.529804E-08,-1.304904E-08,-1.522471E-06
2.386153E-07,-2.579787E-08,-1.333454E-08,-1.522503E-06
2.433653E-07,-2.629717E-08,-1.361999E-08,-1.522535E-06
2.481153E-07,-2.679595E-08,-1.390539E-08,-1.522567E-06
2.528653E-07,-2.729421E-08,-1.419075E-08,-1.522600E-06
2.576153E-07,-2.779196E-08,-1.447605E-08,-1.522632E-06
2.623653E-07,-2.828918E-08,-1.476131E-08,-1.522664E-06
2.671153E-07,-2.878589E-08,-1.504652E-08,-1.522696E-06
2.718653E-07,-2.928209E-08,-1.533169E-08,-1.522728E-06
2.766153E-07,-2.977777E-08,-1.561680E-08,-1.522760E-06
2.813653E-07,-3.027295E-08,-1.590187E-08,-1.522792E-06
2.861153E-07,-3.076761E-08,-1.618688E-08,-1.522824E-06
2.908653E-07,-3.126177E-08,-1.647185E-08,-1.522856E-06
2.956153E-07,-3.175543E-08,-1.675677E-08,-1.522888E-06
3.003653E-07,-3.224858E-08,-1.704164E-08,-1.522920E-06
3.051153E-07,-3.274123E-08,-1.732645E-08,-1.522952E-06
3.098653E-07,-3.323337E-08,-1.761122E-08,-1.522984E-06
3.146153E-07,-3.372502E-08,-1.789594E-08,-1.523016E-06
3.193653E-07,-3.421618E-08,-1.818061E-08,-1.523048E-06
