t (s),I [Positive ions] (A),I [Negative ions] (A),I [Electrons] (A)
0.000000E+00,-1.221312E-12,-2.504999E-18,-6.015213E-10
1.000000E-13,-2.442625E-12,-6.679994E-18,-1.203042E-09
2.000000E-13,-3.663937E-12,-1.308164E-17,-1.804560E-09
3.000000E-13,-4.885249E-12,-2.189550E-17,-2.406078E-09
4.000000E-13,-6.106562E-12,-3.318340E-17,-3.007593E-09
1.778325E-12,-2.294021E-11,-4.438592E-16,-1.129827E-08
1.302020E-11,-1.602385E-10,-2.155904E-14,-7.890839E-08
7.328689E-11,-8.962787E-10,-6.739936E-13,-4.411112E-07
3.043542E-10,-3.718258E-09,-1.157684E-11,-1.826621E-06
9.831522E-10,-1.200774E-08,-1.201123E-10,-5.869110E-06
2.603031E-09,-3.178614E-08,-8.317471E-10,-1.534537E-05
5.865338E-09,-7.160088E-08,-4.121816E-09,-3.366355E-05
1.061534E-08,-1.295234E-07,-1.304575E-08,-5.841760E-05
1.536534E-08,-1.873799E-07,-2.644735E-08,-8.081057E-05
2.011534E-08,-2.451640E-07,-4.384456E-08,-1.007592E-04
2.486534E-08,-3.028717E-07,-6.473424E-08,-1.181879E-04
2.961534E-08,-3.605017E-07,-8.860391E-08,-1.330268E-04
3.436534E-08,-4.180552E-07,-1.149354E-07,-1.452156E-04
3.911534E-08,-4.755348E-07,-1.432091E-07,-1.547215E-04
4.386534E-08,-5.329445E-07,-1.729131E-07,-1.615810E-04
4.861534E-08,-5.902887E-07,-2.035628E-07,-1.659577E-04
5.336534E-08,-6.475720E-07,-2.347284E-07,-1.681946E-04
5.811534E-08,-7.047985E-07,-2.660677E-07,-1.688192E-04
6.286534E-08,-7.619713E-07,-2.973505E-07,-1.684752E-04
6.761534E-08,-8.190921E-07,-3.284620E-07,-1.677897E-04
7.236534E-08,-8.761611E-07,-3.593836E-07,-1.672362E-04
7.711534E-08,-9.331781E-07,-3.901556E-07,-1.670471E-04
8.186534E-08,-9.901430E-07,-4.208345E-07,-1.672224E-04
8.661534E-08,-1.047056E-06,-4.514630E-07,-1.676195E-04
9.136534E-08,-1.103920E-06,-4.820595E-07,-1.680693E-04
9.611534E-08,-1.160736E-06,-5.126214E-07,-1.684603E-04
1.008653E-07,-1.217505E-06,-5.431350E-07,-1.687596E-04
1.056153E-07,-1.274230E-06,-5.735864E-07,-1.689921E-04
1.103653E-07,-1.330911E-06,-6.039667E-07,-1.691968E-04
1.151153E-07,-1.387550E-06,-6.342720E-07,-1.693996E-04
1.198653E-07,-1.444145E-06,-6.645012E-07,-1.696069E-04
1.246153E-07,-1.500699E-06,-6.946525E-07,-1.698124E-04
1.293653E-07,-1.557212E-06,-7.247236E-07,-1.700099E-04
1.341153E-07,-1.613685E-06,-7.547121E-07,-1.701959E-04
1.388653E-07,-1.670119E-06,-7.846157E-07,-1.703701E-04
1.436153E-07,-1.726514E-06,-8.144324E-07,-1.705332E-04
1.483653E-07,-1.782870E-06,-8.441607E-07,-1.706858E-04
1.531153E-07,-1.839189E-06,-8.737995E-07,-1.708276E-04
1.578653E-07,-1.895470E-06,-9.033482E-07,-1.709578E-04
1.626153E-07,-1.951714E-06,-9.328041E-07,-1.710760E-04
1.673653E-07,-2.007921E-06,-9.621642E-07,-1.711823E-04
1.721153E-07,-2.064091E-06,-9.914248E-07,-1.712771E-04
1.768653E-07,-2.120226E-06,-1.020583E-06,-1.713610E-04
1.816153E-07,-2.176324E-06,-1.049635E-06,-1.714347E-04
1.863653E-07,-2.232386E-06,-1.078580E-06,-1.714989E-04
1.911153E-07,-2.288412E-06,-1.107413E-06,-1.715546E-04
1.958653E-07,-2.344403E-06,-1.136134E-06,-1.716029E-04
2.006153E-07,-2.400357E-06,-1.164741E-06,-1.716448E-04
2.053653E-07,-2.456275E-06,-1.193231E-06,-1.716807E-04
2.101153E-07,-2.512157E-06,-1.221604E-06,-1.717110E-04
2.148653E-07,-2.568002E-06,-1.249858E-06,-1.717357E-04
2.196153E-07,-2.623811E-06,-1.277991E-06,-1.717543E-04
2.243653E-07,-2.679582E-06,-1.306003E-06,-1.717667E-04
2.291153E-07,-2.735316E-06,-1.333891E-06,-1.717725E-04
2.338653E-07,-2.791012E-06,-1.361654E-06,-1.717716E-04
2.386153E-07,-2.846671E-06,-1.389291E-06,-1.717639E-04
2.433653E-07,-2.902290E-06,-1.416800E-06,-1.717495E-04
2.481153E-07,-2.957871E-06,-1.444181E-06,-1.717284E-04
2.528653E-07,-3.013413E-06,-1.471433E-06,-1.717007E-04
2.576153E-07,-3.068914E-06,-1.498553E-06,-1.716668E-04
2.623653E-07,-3.124375E-06,-1.525541E-06,-1.716268E-04
2.671153E-07,-3.179794E-06,-1.552397E-06,-1.715809E-04
2.718653E-07,-3.235172E-06,-1.579120E-06,-1.715291E-04
2.766153E-07,-3.290507E-06,-1.605709E-06,-1.714714E-04
2.813653E-07,-3.345798E-06,-1.632163E-06,-1.714078E-04
2.861153E-07,-3.401046E-06,-1.658482E-06,-1.713382E-04
2.908653E-07,-3.456248E-06,-1.684665E-06,-1.712628E-04
2.956153E-07,-3.511405E-06,-1.710712E-06,-1.711817E-04
3.003653E-07,-3.566515E-06,-1.736623E-06,-1.710950E-04
3.051153E-07,-3.621578E-06,-1.762396E-06,-1.710028E-04
3.098653E-07,-3.676593E-06,-1.788031E-06,-1.709053E-04
3.146153E-07,-3.731558E-06,-1.813529E-06,-1.708025E-04
3.193653E-07,-3.786473E-06,-1.838888E-06,-1.706944E-04
3.241153E-07,-3.841336E-06,-1.864108E-06,-1.705811E-04
3.288653E-07,-3.896148E-06,-1.889188E-06,-1.704628E-04
