t (s),I [Positive ions] (A),I [Negative ions] (A),I [Electrons] (A)
0.000000E+00,-7.283447E-14,-1.493887E-19,-3.587247E-11
1.000000E-13,-1.456689E-13,-3.983697E-19,-7.174487E-11
2.000000E-13,-2.185034E-13,-7.801400E-19,-1.076172E-10
3.000000E-13,-2.913379E-13,-1.305765E-18,-1.434894E-10
4.000000E-13,-3.641723E-13,-1.978933E-18,-1.793615E-10
1.778325E-12,-1.368068E-12,-2.647009E-17,-6.737865E-10
1.302020E-11,-9.556018E-12,-1.285700E-15,-4.705799E-09
7.328689E-11,-5.345068E-11,-4.019444E-14,-2.630621E-08
3.043542E-10,-2.217429E-10,-6.903989E-13,-1.089328E-07
9.831522E-10,-7.160965E-10,-7.163044E-12,-3.500117E-07
2.603030E-09,-1.895609E-09,-4.960224E-11,-9.151409E-07
5.865332E-09,-4.270036E-09,-2.458099E-10,-2.007583E-06
1.061533E-08,-7.724478E-09,-7.780375E-10,-3.484034E-06
1.536533E-08,-1.117523E-08,-1.577584E-09,-4.820573E-06
2.011533E-08,-1.462198E-08,-2.616152E-09,-6.013438E-06
2.486533E-08,-1.806460E-08,-3.864474E-09,-7.059316E-06
2.961533E-08,-2.150303E-08,-5.293016E-09,-7.954758E-06
3.436533E-08,-2.493731E-08,-6.872105E-09,-8.695933E-06
3.911533E-08,-2.836750E-08,-8.571969E-09,-9.279361E-06
4.386533E-08,-3.179368E-08,-1.036302E-08,-9.704253E-06
4.861533E-08,-3.521591E-08,-1.221669E-08,-9.976507E-06
5.336533E-08,-3.863421E-08,-1.410697E-08,-1.011294E-05
5.811533E-08,-4.204861E-08,-1.601242E-08,-1.014311E-05
6.286533E-08,-4.545912E-08,-1.791790E-08,-1.010629E-05
6.761533E-08,-4.886575E-08,-1.981530E-08,-1.004334E-05
7.236533E-08,-5.226851E-08,-2.170275E-08,-9.986764E-06
7.711533E-08,-5.566742E-08,-2.358250E-08,-9.953719E-06
8.186533E-08,-5.906250E-08,-2.545829E-08,-9.945498E-06
8.661533E-08,-6.245376E-08,-2.733325E-08,-9.953128E-06
9.136533E-08,-6.584123E-08,-2.920897E-08,-9.965358E-06
9.611533E-08,-6.922495E-08,-3.108561E-08,-9.974623E-06
1.008653E-07,-7.260492E-08,-3.296261E-08,-9.978787E-06
1.056153E-07,-7.598117E-08,-3.483937E-08,-9.979422E-06
1.103653E-07,-7.935371E-08,-3.671556E-08,-9.979026E-06
1.151153E-07,-8.272256E-08,-3.859115E-08,-9.979187E-06
1.198653E-07,-8.608774E-08,-4.046623E-08,-9.980224E-06
1.246153E-07,-8.944927E-08,-4.234089E-08,-9.981762E-06
1.293653E-07,-9.280717E-08,-4.421518E-08,-9.983365E-06
1.341153E-07,-9.616145E-08,-4.608908E-08,-9.984838E-06
1.388653E-07,-9.951214E-08,-4.796259E-08,-9.986193E-06
1.436153E-07,-1.028593E-07,-4.983569E-08,-9.987505E-06
1.483653E-07,-1.062028E-07,-5.170839E-08,-9.988824E-06
1.531153E-07,-1.095428E-07,-5.358068E-08,-9.990159E-06
1.578653E-07,-1.128793E-07,-5.545257E-08,-9.991501E-06
1.626153E-07,-1.162123E-07,-5.732406E-08,-9.992840E-06
1.673653E-07,-1.195418E-07,-5.919514E-08,-9.994173E-06
1.721153E-07,-1.228678E-07,-6.106582E-08,-9.995501E-06
1.768653E-07,-1.261904E-07,-6.293610E-08,-9.996825E-06
1.816153E-07,-1.295095E-07,-6.480598E-08,-9.998147E-06
1.863653E-07,-1.328252E-07,-6.667546E-08,-9.999464E-06
1.911153E-07,-1.361375E-07,-6.854454E-08,-1.000078E-05
1.958653E-07,-1.394465E-07,-7.041322E-08,-1.000209E-05
2.006153E-07,-1.427520E-07,-7.228150E-08,-1.000340E-05
2.053653E-07,-1.460542E-07,-7.414939E-08,-1.000470E-05
2.101153E-07,-1.493531E-07,-7.601687E-08,-1.000600E-05
2.148653E-07,-1.526486E-07,-7.788394E-08,-1.000730E-05
2.196153E-07,-1.559409E-07,-7.975061E-08,-1.000859E-05
2.243653E-07,-1.592298E-07,-8.161687E-08,-1.000988E-05
2.291153E-07,-1.625155E-07,-8.348272E-08,-1.001117E-05
2.338653E-07,-1.657979E-07,-8.534816E-08,-1.001245E-05
2.386153E-07,-1.690771E-07,-8.721319E-08,-1.001373E-05
2.433653E-07,-1.723530E-07,-8.907779E-08,-1.001501E-05
2.481153E-07,-1.756257E-07,-9.094197E-08,-1.001628E-05
