t (s),I [Positive ions] (A),I [Negative ions] (A),I [Electrons] (A)
0.000000E+00,9.217759E-14,1.889170E-19,4.536024E-11
1.000000E-13,1.843552E-13,5.037776E-19,9.072010E-11
2.000000E-13,2.765328E-13,9.865619E-19,1.360795E-10
3.000000E-13,3.687103E-13,1.651262E-18,1.814383E-10
4.000000E-13,4.608879E-13,2.502539E-18,2.267966E-10
1.778147E-12,1.731230E-12,3.346589E-17,8.518440E-10
1.301729E-11,1.209120E-11,1.624400E-15,5.945544E-09
7.325901E-11,6.762055E-11,5.066044E-14,3.314451E-08
3.040950E-10,2.803992E-10,8.628594E-13,1.358705E-07
9.806800E-10,9.040557E-10,8.746591E-12,4.243243E-07
2.583260E-09,2.381254E-09,5.756252E-11,1.042455E-06
5.793684E-09,5.340440E-09,2.643223E-10,2.064207E-06
1.054368E-08,9.718563E-09,7.816246E-10,3.188148E-06
1.529368E-08,1.409649E-08,1.492398E-09,3.975958E-06
2.004368E-08,1.847420E-08,2.345038E-09,4.524244E-06
2.479368E-08,2.285170E-08,3.298848E-09,4.900792E-06
2.954368E-08,2.722897E-08,4.322846E-09,5.152989E-06
3.429368E-08,3.160600E-08,5.393736E-09,5.314736E-06
3.904368E-08,3.598280E-08,6.494159E-09,5.411037E-06
4.379368E-08,4.035934E-08,7.611376E-09,5.460947E-06
4.854368E-08,4.473562E-08,8.736346E-09,5.479466E-06
5.329368E-08,4.911164E-08,9.863046E-09,5.478655E-06
5.804368E-08,5.348739E-08,1.098791E-08,5.468122E-06
6.279368E-08,5.786287E-08,1.210933E-08,5.455034E-06
6.754368E-08,6.223806E-08,1.322704E-08,5.443957E-06
7.229368E-08,6.661297E-08,1.434156E-08,5.436879E-06
7.704368E-08,7.098759E-08,1.545366E-08,5.433687E-06
8.179368E-08,7.536191E-08,1.656400E-08,5.433035E-06
8.654368E-08,7.973593E-08,1.767293E-08,5.433319E-06
9.129368E-08,8.410964E-08,1.878054E-08,5.433394E-06
9.604368E-08,8.848305E-08,1.988677E-08,5.432815E-06
1.007937E-07,9.285613E-08,2.099149E-08,5.431680E-06
1.055437E-07,9.722890E-08,2.209464E-08,5.430293E-06
1.102937E-07,1.016013E-07,2.319619E-08,5.428904E-06
1.150437E-07,1.059735E-07,2.429615E-08,5.427616E-06
1.197937E-07,1.103452E-07,2.539453E-08,5.426409E-06
1.245437E-07,1.147167E-07,2.649134E-08,5.425233E-06
1.292937E-07,1.190878E-07,2.758658E-08,5.424047E-06
1.340437E-07,1.234585E-07,2.868025E-08,5.422843E-06
1.387937E-07,1.278289E-07,2.977236E-08,5.421627E-06
1.435437E-07,1.321990E-07,3.086289E-08,5.420406E-06
1.482937E-07,1.365687E-07,3.195185E-08,5.419185E-06
1.530437E-07,1.409380E-07,3.303923E-08,5.417962E-06
1.577937E-07,1.453070E-07,3.412504E-08,5.416737E-06
1.625437E-07,1.496756E-07,3.520928E-08,5.415510E-06
1.672937E-07,1.540438E-07,3.629195E-08,5.414279E-06
1.720437E-07,1.584117E-07,3.737304E-08,5.413045E-06
1.767937E-07,1.627791E-07,3.845255E-08,5.411808E-06
1.815437E-07,1.671462E-07,3.953049E-08,5.410568E-06
1.862937E-07,1.715129E-07,4.060686E-08,5.409326E-06
1.910437E-07,1.758791E-07,4.168165E-08,5.408081E-06
1.957937E-07,1.802450E-07,4.275486E-08,5.406833E-06
2.005437E-07,1.846105E-07,4.382649E-08,5.405582E-06
2.052937E-07,1.889756E-07,4.489655E-08,5.404328E-06
2.100437E-07,1.933402E-07,4.596502E-08,5.403072E-06
2.147937E-07,1.977044E-07,4.703192E-08,5.401813E-06
2.195437E-07,2.020682E-07,4.809724E-08,5.400551E-06
2.242937E-07,2.064316E-07,4.916097E-08,5.399286E-06
2.290437E-07,2.107946E-07,5.022313E-08,5.398018E-06
2.337937E-07,2.151571E-07,5.128370E-08,5.396748E-06
2.385437E-07,2.195191E-07,5.234268E-08,5.395475E-06
2.432937E-07,2.238808E-07,5.340009E-08,5.394199E-06
2.480437E-07,2.282419E-07,5.445590E-08,5.392920E-06
2.527937E-07,2.326026E-07,5.551013E-08,5.391639E-06
2.575437E-07,2.369629E-07,5.656278E-08,5.390354E-06
2.622937E-07,2.413227E-07,5.761383E-08,5.389067E-06
2.670437E-07,2.456820E-07,5.866330E-08,5.387777E-06
2.717937E-07,2.500409E-07,5.971118E-08,5.386484E-06
2.765437E-07,2.543992E-07,6.075747E-08,5.385188E-06
2.812937E-07,2.587571E-07,6.180217E-08,5.383890E-06
2.860437E-07,2.631145E-07,6.284528E-08,5.382588E-06
2.907937E-07,2.674714E-07,6.388680E-08,5.381284E-06
2.955437E-07,2.718279E-07,6.492675E-08,5.379977E-06
3.002937E-07,2.761838E-07,6.596511E-08,5.378667E-06
3.050437E-07,2.805392E-07,6.700189E-08,5.377354E-06
3.097937E-07,2.848941E-07,6.803709E-08,5.376037E-06
3.145437E-07,2.892485E-07,6.907072E-08,5.374718E-06
3.192937E-07,2.936023E-07,7.010277E-08,5.373396E-06
3.240437E-07,2.979557E-07,7.113324E-08,5.372070E-06
3.287937E-07,3.023085E-07,7.216215E-08,5.370741E-06
3.335437E-07,3.066608E-07,7.318948E-08,5.369409E-06
3.382937E-07,3.110125E-07,7.421524E-08,5.368074E-06
3.430437E-07,3.153637E-07,7.523942E-08,5.366736E-06
3.477937E-07,3.197144E-07,7.626205E-08,5.365394E-06
3.525437E-07,3.240645E-07,7.728310E-08,5.364049E-06
3.572937E-07,3.284140E-07,7.830258E-08,5.362701E-06
3.620437E-07,3.327630E-07,7.932050E-08,5.361349E-06
3.667937E-07,3.371114E-07,8.033686E-08,5.359994E-06
3.715437E-07,3.414593E-07,8.135165E-08,5.358636E-06
3.762937E-07,3.458066E-07,8.236488E-08,5.357274E-06
3.810437E-07,3.501533E-07,8.337654E-08,5.355909E-06
3.857937E-07,3.544994E-07,8.438664E-08,5.354541E-06
3.905437E-07,3.588449E-07,8.539518E-08,5.353169E-06
3.952937E-07,3.631898E-07,8.640216E-08,5.351793E-06
4.000437E-07,3.675341E-07,8.740758E-08,5.350415E-06
4.047937E-07,3.718778E-07,8.841144E-08,5.349033E-06
4.095437E-07,3.762210E-07,8.941374E-08,5.347647E-06
4.142937E-07,3.805635E-07,9.041448E-08,5.346258E-06
4.190437E-07,3.849053E-07,9.141366E-08,5.344865E-06
4.237937E-07,3.892466E-07,9.241128E-08,5.343469E-06
4.285437E-07,3.935872E-07,9.340735E-08,5.342070E-06
4.332937E-07,3.979272E-07,9.440185E-08,5.340667E-06
4.380437E-07,4.022666E-07,9.539480E-08,5.339261E-06
4.427937E-07,4.066053E-07,9.638618E-08,5.337851E-06
4.475437E-07,4.109433E-07,9.737599E-08,5.336439E-06
4.522937E-07,4.152807E-07,9.836424E-08,5.335023E-06
4.570437E-07,4.196175E-07,9.935093E-08,5.333603E-06
4.617937E-07,4.239536E-07,1.003360E-07,5.332181E-06
4.665437E-07,4.282890E-07,1.013196E-07,5.330755E-06
4.712937E-07,4.326238E-07,1.023016E-07,5.329326E-06
4.760437E-07,4.369578E-07,1.032820E-07,5.327894E-06
4.807937E-07,4.412912E-07,1.042608E-07,5.326460E-06
4.855437E-07,4.456239E-07,1.052381E-07,5.325021E-06
4.902937E-07,4.499559E-07,1.062138E-07,5.323581E-06
4.950437E-07,4.542873E-07,1.071879E-07,5.322136E-06
4.997937E-07,4.586179E-07,1.081604E-07,5.320689E-06
5.045437E-07,4.629478E-07,1.091313E-07,5.319239E-06
5.092937E-07,4.672770E-07,1.101007E-07,5.317786E-06
5.140437E-07,4.716055E-07,1.110685E-07,5.316330E-06
5.187937E-07,4.759332E-07,1.120347E-07,5.314871E-06
5.235437E-07,4.802603E-07,1.129993E-07,5.313409E-06
5.282937E-07,4.845866E-07,1.139624E-07,5.311945E-06
5.330437E-07,4.889121E-07,1.149238E-07,5.310478E-06
5.377937E-07,4.932370E-07,1.158837E-07,5.309008E-06
5.425437E-07,4.975610E-07,1.168420E-07,5.307535E-06
5.472937E-07,5.018844E-07,1.177987E-07,5.306060E-06
5.520437E-07,5.062069E-07,1.187538E-07,5.304582E-06
5.567937E-07,5.105287E-07,1.197073E-07,5.303101E-06
5.615437E-07,5.148498E-07,1.206592E-07,5.301618E-06
5.662937E-07,5.191701E-07,1.216095E-07,5.300132E-06
5.710437E-07,5.234895E-07,1.225582E-07,5.298643E-06
5.757937E-07,5.278083E-07,1.235054E-07,5.297152E-06
5.805437E-07,5.321262E-07,1.244509E-07,5.295659E-06
5.852937E-07,5.364433E-07,1.253948E-07,5.294163E-06
5.900437E-07,5.407597E-07,1.263372E-07,5.292664E-06
5.947937E-07,5.450752E-07,1.272779E-07,5.291163E-06
5.995437E-07,5.493899E-07,1.282171E-07,5.289659E-06
6.042937E-07,5.537039E-07,1.291546E-07,5.288152E-06
6.090437E-07,5.580170E-07,1.300906E-07,5.286642E-06
6.137937E-07,5.623292E-07,1.310249E-07,5.285131E-06
6.185437E-07,5.666407E-07,1.319577E-07,5.283616E-06
6.232937E-07,5.709513E-07,1.328889E-07,5.282099E-06
6.280437E-07,5.752611E-07,1.338185E-07,5.280579E-06
6.327937E-07,5.795700E-07,1.347465E-07,5.279057E-06
6.375437E-07,5.838781E-07,1.356729E-07,5.277532E-06
6.422937E-07,5.881854E-07,1.365977E-07,5.276004E-06
6.470437E-07,5.924918E-07,1.375210E-07,5.274474E-06
6.517937E-07,5.967973E-07,1.384426E-07,5.272941E-06
