t (s),I [Positive ions] (A),I [Negative ions] (A),I [Electrons] (A)
0.000000E+00,-3.126008E-12,-6.411665E-18,-1.539623E-09
1.000000E-13,-6.252015E-12,-1.709776E-17,-3.079243E-09
2.000000E-13,-9.378022E-12,-3.348310E-17,-4.618859E-09
3.000000E-13,-1.250403E-11,-5.604258E-17,-6.158471E-09
4.000000E-13,-1.563004E-11,-8.493451E-17,-7.698079E-09
1.778325E-12,-5.871658E-11,-1.136079E-15,-2.891847E-08
1.302020E-11,-4.101380E-10,-5.518139E-14,-2.019698E-07
7.328689E-11,-2.294068E-09,-1.725119E-12,-1.129045E-06
3.043542E-10,-9.517060E-09,-2.963147E-11,-4.675323E-06
9.831522E-10,-3.073437E-08,-3.074332E-10,-1.502227E-05
2.603031E-09,-8.135795E-08,-2.128898E-09,-3.927718E-05
5.865348E-09,-1.832638E-07,-1.054996E-08,-8.616241E-05
1.061535E-08,-3.315075E-07,-3.338851E-08,-1.495065E-04
1.536535E-08,-4.795657E-07,-6.766771E-08,-2.067438E-04
2.011535E-08,-6.274147E-07,-1.121218E-07,-2.575766E-04
2.486535E-08,-7.750392E-07,-1.654106E-07,-3.017300E-04
2.961535E-08,-9.224343E-07,-2.261503E-07,-3.389779E-04
3.436535E-08,-1.069605E-06,-2.929360E-07,-3.691827E-04
3.911535E-08,-1.216565E-06,-3.643567E-07,-3.923733E-04
4.386535E-08,-1.363335E-06,-4.390434E-07,-4.088543E-04
4.861535E-08,-1.509940E-06,-5.157280E-07,-4.192678E-04
5.336535E-08,-1.656403E-06,-5.933343E-07,-4.246942E-04
5.811535E-08,-1.802746E-06,-6.710419E-07,-4.265744E-04
6.286535E-08,-1.948979E-06,-7.483373E-07,-4.264810E-04
6.761535E-08,-2.095109E-06,-8.249829E-07,-4.257908E-04
7.236535E-08,-2.241130E-06,-9.009453E-07,-4.254560E-04
7.711535E-08,-2.387037E-06,-9.763023E-07,-4.258760E-04
8.186535E-08,-2.532823E-06,-1.051148E-06,-4.269608E-04
8.661535E-08,-2.678489E-06,-1.125537E-06,-4.283628E-04
9.136535E-08,-2.824037E-06,-1.199468E-06,-4.297123E-04
9.611535E-08,-2.969473E-06,-1.272901E-06,-4.307796E-04
1.008653E-07,-3.114800E-06,-1.345773E-06,-4.315130E-04
1.056153E-07,-3.260021E-06,-1.418029E-06,-4.319763E-04
1.103653E-07,-3.405132E-06,-1.489627E-06,-4.322610E-04
1.151153E-07,-3.550131E-06,-1.560538E-06,-4.324295E-04
1.198653E-07,-3.695013E-06,-1.630737E-06,-4.325027E-04
1.246153E-07,-3.839774E-06,-1.700203E-06,-4.324761E-04
1.293653E-07,-3.984411E-06,-1.768913E-06,-4.323396E-04
1.341153E-07,-4.128919E-06,-1.836848E-06,-4.320893E-04
1.388653E-07,-4.273293E-06,-1.903992E-06,-4.317271E-04
1.436153E-07,-4.417528E-06,-1.970331E-06,-4.312574E-04
1.483653E-07,-4.561617E-06,-2.035857E-06,-4.306841E-04
1.531153E-07,-4.705555E-06,-2.100563E-06,-4.300091E-04
1.578653E-07,-4.849333E-06,-2.164447E-06,-4.292324E-04
1.626153E-07,-4.992945E-06,-2.227503E-06,-4.283543E-04
1.673653E-07,-5.136382E-06,-2.289732E-06,-4.273798E-04
1.721153E-07,-5.279638E-06,-2.351139E-06,-4.263132E-04
1.768653E-07,-5.422702E-06,-2.411725E-06,-4.251545E-04
1.816153E-07,-5.565566E-06,-2.471493E-06,-4.239053E-04
1.863653E-07,-5.708221E-06,-2.530444E-06,-4.225675E-04
1.911153E-07,-5.850657E-06,-2.588585E-06,-4.211515E-04
1.958653E-07,-5.992866E-06,-2.645926E-06,-4.196599E-04
2.006153E-07,-6.134837E-06,-2.702476E-06,-4.180885E-04
2.053653E-07,-6.276561E-06,-2.758239E-06,-4.164381E-04
2.101153E-07,-6.418028E-06,-2.813231E-06,-4.147038E-04
2.148653E-07,-6.559229E-06,-2.867470E-06,-4.128770E-04
2.196153E-07,-6.700153E-06,-2.920973E-06,-4.109547E-04
2.243653E-07,-6.840792E-06,-2.973755E-06,-4.089433E-04
2.291153E-07,-6.981135E-06,-3.025846E-06,-4.068731E-04
2.338653E-07,-7.121173E-06,-3.077269E-06,-4.047380E-04
2.386153E-07,-7.260894E-06,-3.128042E-06,-4.025396E-04
2.433653E-07,-7.400288E-06,-3.178200E-06,-4.002670E-04
2.481153E-07,-7.539348E-06,-3.227781E-06,-3.979028E-04
2.528653E-07,-7.678064E-06,-3.276813E-06,-3.954358E-04
2.576153E-07,-7.816430E-06,-3.325329E-06,-3.928749E-04
2.623653E-07,-7.954437E-06,-3.373362E-06,-3.902311E-04
2.671153E-07,-8.092076E-06,-3.420936E-06,-3.875155E-04
2.718653E-07,-8.229339E-06,-3.468092E-06,-3.847489E-04
2.766153E-07,-8.366215E-06,-3.514865E-06,-3.819363E-04
2.813653E-07,-8.502698E-06,-3.561286E-06,-3.790730E-04
2.861153E-07,-8.638781E-06,-3.607387E-06,-3.761585E-04
2.908653E-07,-8.774457E-06,-3.653198E-06,-3.731899E-04
2.956153E-07,-8.909722E-06,-3.698749E-06,-3.701690E-04
