t (s),I [Positive ions] (A),I [Negative ions] (A),I [Electrons] (A)
0.000000E+00,-8.789610E-15,-1.802812E-20,-4.329063E-12
1.000000E-13,-1.757922E-14,-4.807496E-20,-8.658118E-12
2.000000E-13,-2.636883E-14,-9.414672E-20,-1.298716E-11
3.000000E-13,-3.515844E-14,-1.575788E-19,-1.731620E-11
4.000000E-13,-4.394805E-14,-2.388162E-19,-2.164522E-11
1.778325E-12,-1.650974E-13,-3.194391E-18,-8.131206E-11
1.302020E-11,-1.153213E-12,-1.551573E-16,-5.678924E-10
7.328689E-11,-6.450389E-12,-4.850636E-15,-3.174614E-09
3.043542E-10,-2.675977E-11,-8.331683E-14,-1.314593E-08
9.831522E-10,-8.641800E-11,-8.644308E-13,-4.223915E-08
2.603030E-09,-2.287607E-10,-5.985962E-12,-1.104385E-07
5.865331E-09,-5.153050E-10,-2.966417E-11,-2.422737E-07
1.061533E-08,-9.321857E-10,-9.389325E-11,-4.204521E-07
1.536533E-08,-1.348622E-09,-1.903841E-10,-5.817522E-07
2.011533E-08,-1.764579E-09,-3.157249E-10,-7.257278E-07
2.486533E-08,-2.180039E-09,-4.663887E-10,-8.519876E-07
2.961533E-08,-2.594997E-09,-6.388181E-10,-9.601201E-07
3.436533E-08,-3.009457E-09,-8.294410E-10,-1.049662E-06
3.911533E-08,-3.423426E-09,-1.034673E-09,-1.120183E-06
4.386533E-08,-3.836912E-09,-1.250949E-09,-1.171567E-06
4.861533E-08,-4.249920E-09,-1.474824E-09,-1.204498E-06
5.336533E-08,-4.662453E-09,-1.703159E-09,-1.220980E-06
5.811533E-08,-5.074510E-09,-1.933357E-09,-1.224565E-06
6.286533E-08,-5.486093E-09,-2.163579E-09,-1.219996E-06
6.761533E-08,-5.897201E-09,-2.392837E-09,-1.212229E-06
7.236533E-08,-6.307836E-09,-2.620902E-09,-1.205216E-06
7.711533E-08,-6.717998E-09,-2.848040E-09,-1.201052E-06
8.186533E-08,-7.127692E-09,-3.074705E-09,-1.199901E-06
8.661533E-08,-7.536919E-09,-3.301277E-09,-1.200677E-06
9.136533E-08,-7.945681E-09,-3.527951E-09,-1.202013E-06
9.611533E-08,-8.353980E-09,-3.754746E-09,-1.202990E-06
1.008653E-07,-8.761818E-09,-3.981596E-09,-1.203349E-06
1.056153E-07,-9.169197E-09,-4.208427E-09,-1.203280E-06
1.103653E-07,-9.576117E-09,-4.435199E-09,-1.203088E-06
1.151153E-07,-9.982580E-09,-4.661909E-09,-1.202963E-06
1.198653E-07,-1.038859E-08,-4.888567E-09,-1.202945E-06
1.246153E-07,-1.079414E-08,-5.115185E-09,-1.202988E-06
1.293653E-07,-1.119924E-08,-5.341768E-09,-1.203038E-06
1.341153E-07,-1.160390E-08,-5.568315E-09,-1.203073E-06
1.388653E-07,-1.200810E-08,-5.794824E-09,-1.203094E-06
1.436153E-07,-1.241186E-08,-6.021296E-09,-1.203110E-06
1.483653E-07,-1.281517E-08,-6.247729E-09,-1.203127E-06
1.531153E-07,-1.321804E-08,-6.474125E-09,-1.203147E-06
1.578653E-07,-1.362047E-08,-6.700483E-09,-1.203167E-06
1.626153E-07,-1.402246E-08,-6.926804E-09,-1.203188E-06
1.673653E-07,-1.442400E-08,-7.153089E-09,-1.203208E-06
1.721153E-07,-1.482512E-08,-7.379336E-09,-1.203228E-06
1.768653E-07,-1.522579E-08,-7.605547E-09,-1.203249E-06
1.816153E-07,-1.562603E-08,-7.831721E-09,-1.203269E-06
1.863653E-07,-1.602584E-08,-8.057859E-09,-1.203289E-06
1.911153E-07,-1.642522E-08,-8.283960E-09,-1.203309E-06
1.958653E-07,-1.682416E-08,-8.510025E-09,-1.203329E-06
2.006153E-07,-1.722268E-08,-8.736054E-09,-1.203350E-06
