t (s),I [Positive ions] (A),I [Negative ions] (A),I [Electrons] (A)
0.000000E+00,-2.590344E-16,-5.312980E-22,-1.275797E-13
1.000000E-13,-5.180687E-16,-1.416794E-21,-2.551592E-13
2.000000E-13,-7.771031E-16,-2.774553E-21,-3.827384E-13
3.000000E-13,-1.036137E-15,-4.643928E-21,-5.103173E-13
4.000000E-13,-1.295172E-15,-7.038037E-21,-6.378958E-13
1.778325E-12,-4.865507E-15,-9.414036E-20,-2.396308E-12
1.302020E-11,-3.398579E-14,-4.572566E-18,-1.673608E-11
7.328689E-11,-1.900963E-13,-1.429507E-16,-9.355753E-11
3.043542E-10,-7.886243E-13,-2.455390E-15,-3.874173E-10
9.831522E-10,-2.546783E-12,-2.547522E-14,-1.244810E-09
2.603030E-09,-6.741695E-12,-1.764094E-13,-3.254681E-09
5.865331E-09,-1.518631E-11,-8.742183E-13,-7.139931E-09
1.061533E-08,-2.747200E-11,-2.767084E-12,-1.239095E-08
1.536533E-08,-3.974460E-11,-5.610728E-12,-1.714457E-08
2.011533E-08,-5.200310E-11,-9.304613E-12,-2.138769E-08
2.486533E-08,-6.424695E-11,-1.374482E-11,-2.510881E-08
2.961533E-08,-7.647601E-11,-1.882654E-11,-2.829581E-08
3.436533E-08,-8.869041E-11,-2.444453E-11,-3.093504E-08
3.911533E-08,-1.008904E-10,-3.049317E-11,-3.301377E-08
4.386533E-08,-1.130761E-10,-3.686747E-11,-3.452851E-08
4.861533E-08,-1.252477E-10,-4.346589E-11,-3.549932E-08
5.336533E-08,-1.374053E-10,-5.019589E-11,-3.598510E-08
5.811533E-08,-1.495489E-10,-5.698090E-11,-3.609052E-08
6.286533E-08,-1.616785E-10,-6.376672E-11,-3.595538E-08
6.761533E-08,-1.737940E-10,-7.052421E-11,-3.572581E-08
7.236533E-08,-1.858956E-10,-7.724650E-11,-3.551841E-08
7.711533E-08,-1.979833E-10,-8.394153E-11,-3.539499E-08
8.186533E-08,-2.100571E-10,-9.062260E-11,-3.536044E-08
8.661533E-08,-2.221171E-10,-9.730099E-11,-3.538272E-08
9.136533E-08,-2.341633E-10,-1.039824E-10,-3.542154E-08
9.611533E-08,-2.461960E-10,-1.106674E-10,-3.544978E-08
1.008653E-07,-2.582149E-10,-1.173541E-10,-3.545978E-08
1.056153E-07,-2.702203E-10,-1.240402E-10,-3.545717E-08
1.103653E-07,-2.822122E-10,-1.307247E-10,-3.545091E-08
1.151153E-07,-2.941905E-10,-1.374073E-10,-3.544665E-08
1.198653E-07,-3.061554E-10,-1.440885E-10,-3.544554E-08
1.246153E-07,-3.181068E-10,-1.507685E-10,-3.544621E-08
1.293653E-07,-3.300449E-10,-1.574475E-10,-3.544712E-08
1.341153E-07,-3.419697E-10,-1.641255E-10,-3.544758E-08
1.388653E-07,-3.538812E-10,-1.708024E-10,-3.544761E-08
1.436153E-07,-3.657794E-10,-1.774783E-10,-3.544750E-08
1.483653E-07,-3.776645E-10,-1.841530E-10,-3.544743E-08
1.531153E-07,-3.895365E-10,-1.908267E-10,-3.544742E-08
1.578653E-07,-4.013954E-10,-1.974993E-10,-3.544745E-08
1.626153E-07,-4.132412E-10,-2.041709E-10,-3.544749E-08
1.673653E-07,-4.250740E-10,-2.108414E-10,-3.544751E-08
1.721153E-07,-4.368938E-10,-2.175109E-10,-3.544753E-08
1.768653E-07,-4.487007E-10,-2.241793E-10,-3.544754E-08
1.816153E-07,-4.604948E-10,-2.308467E-10,-3.544756E-08
1.863653E-07,-4.722760E-10,-2.375131E-10,-3.544758E-08
1.911153E-07,-4.840444E-10,-2.441784E-10,-3.544759E-08
1.958653E-07,-4.958001E-10,-2.508427E-10,-3.544761E-08
2.006153E-07,-5.075430E-10,-2.575059E-10,-3.544763E-08
2.053653E-07,-5.192733E-10,-2.641682E-10,-3.544765E-08
2.101153E-07,-5.309910E-10,-2.708294E-10,-3.544766E-08
2.148653E-07,-5.426961E-10,-2.774896E-10,-3.544768E-08
2.196153E-07,-5.543886E-10,-2.841487E-10,-3.544770E-08
2.243653E-07,-5.660686E-10,-2.908068E-10,-3.544772E-08
2.291153E-07,-5.777362E-10,-2.974639E-10,-3.544774E-08
2.338653E-07,-5.893913E-10,-3.041200E-10,-3.544775E-08
2.386153E-07,-6.010341E-10,-3.107750E-10,-3.544777E-08
2.433653E-07,-6.126645E-10,-3.174289E-10,-3.544779E-08
2.481153E-07,-6.242825E-10,-3.240819E-10,-3.544781E-08
2.528653E-07,-6.358884E-10,-3.307337E-10,-3.544782E-08
2.576153E-07,-6.474820E-10,-3.373845E-10,-3.544784E-08
2.623653E-07,-6.590634E-10,-3.440342E-10,-3.544786E-08
2.671153E-07,-6.706326E-10,-3.506829E-10,-3.544788E-08
2.718653E-07,-6.821897E-10,-3.573305E-10,-3.544789E-08
2.766153E-07,-6.937348E-10,-3.639770E-10,-3.544791E-08
2.813653E-07,-7.052678E-10,-3.706225E-10,-3.544793E-08
2.861153E-07,-7.167888E-10,-3.772669E-10,-3.544795E-08
2.908653E-07,-7.282978E-10,-3.839101E-10,-3.544797E-08
2.956153E-07,-7.397949E-10,-3.905523E-10,-3.544798E-08
3.003653E-07,-7.512801E-10,-3.971934E-10,-3.544800E-08
3.051153E-07,-7.627535E-10,-4.038334E-10,-3.544802E-08
3.098653E-07,-7.742150E-10,-4.104723E-10,-3.544804E-08
3.146153E-07,-7.856647E-10,-4.171101E-10,-3.544805E-08
3.193653E-07,-7.971027E-10,-4.237468E-10,-3.544807E-08
3.241153E-07,-8.085290E-10,-4.303824E-10,-3.544809E-08
3.288653E-07,-8.199436E-10,-4.370169E-10,-3.544811E-08
3.336153E-07,-8.313465E-10,-4.436502E-10,-3.544812E-08
3.383653E-07,-8.427378E-10,-4.502825E-10,-3.544814E-08
3.431153E-07,-8.541176E-10,-4.569136E-10,-3.544816E-08
3.478653E-07,-8.654858E-10,-4.635436E-10,-3.544818E-08
3.526153E-07,-8.768425E-10,-4.701725E-10,-3.544820E-08
3.573653E-07,-8.881877E-10,-4.768002E-10,-3.544821E-08
3.621153E-07,-8.995215E-10,-4.834269E-10,-3.544823E-08
3.668653E-07,-9.108439E-10,-4.900524E-10,-3.544825E-08
3.716153E-07,-9.221549E-10,-4.966768E-10,-3.544827E-08
3.763653E-07,-9.334546E-10,-5.033000E-10,-3.544828E-08
3.811153E-07,-9.447429E-10,-5.099222E-10,-3.544830E-08
3.858653E-07,-9.560200E-10,-5.165432E-10,-3.544832E-08
3.906153E-07,-9.672858E-10,-5.231631E-10,-3.544834E-08
3.953653E-07,-9.785404E-10,-5.297819E-10,-3.544835E-08
4.001153E-07,-9.897839E-10,-5.363996E-10,-3.544837E-08
4.048653E-07,-1.001016E-09,-5.430162E-10,-3.544839E-08
4.096153E-07,-1.012237E-09,-5.496316E-10,-3.544841E-08
4.143653E-07,-1.023447E-09,-5.562460E-10,-3.544842E-08
4.191153E-07,-1.034647E-09,-5.628593E-10,-3.544844E-08
4.238653E-07,-1.045835E-09,-5.694714E-10,-3.544846E-08
4.286153E-07,-1.057012E-09,-5.760825E-10,-3.544848E-08
4.333653E-07,-1.068178E-09,-5.826925E-10,-3.544850E-08
4.381153E-07,-1.079333E-09,-5.893014E-10,-3.544851E-08
4.428653E-07,-1.090477E-09,-5.959092E-10,-3.544853E-08
4.476153E-07,-1.101610E-09,-6.025160E-10,-3.544855E-08
4.523653E-07,-1.112733E-09,-6.091216E-10,-3.544857E-08
4.571153E-07,-1.123845E-09,-6.157262E-10,-3.544858E-08
4.618653E-07,-1.134946E-09,-6.223298E-10,-3.544860E-08
4.666153E-07,-1.146036E-09,-6.289322E-10,-3.544862E-08
4.713653E-07,-1.157115E-09,-6.355336E-10,-3.544864E-08
4.761153E-07,-1.168184E-09,-6.421340E-10,-3.544865E-08
4.808653E-07,-1.179242E-09,-6.487332E-10,-3.544867E-08
4.856153E-07,-1.190290E-09,-6.553315E-10,-3.544869E-08
4.903653E-07,-1.201327E-09,-6.619287E-10,-3.544871E-08
