t (s),I [Positive ions] (A),I [Negative ions] (A),I [Electrons] (A)
0.000000E+00,-6.035376E-13,-1.237899E-18,-2.972546E-10
1.000000E-13,-1.207075E-12,-3.301061E-18,-5.945087E-10
2.000000E-13,-1.810613E-12,-6.464574E-18,-8.917620E-10
3.000000E-13,-2.414150E-12,-1.082013E-17,-1.189015E-09
4.000000E-13,-3.017688E-12,-1.639829E-17,-1.486266E-09
1.778325E-12,-1.133640E-11,-2.193425E-16,-5.583283E-09
1.302020E-11,-7.918525E-11,-1.065386E-14,-3.899427E-08
7.328689E-11,-4.429152E-10,-3.330683E-13,-2.179845E-07
3.043542E-10,-1.837457E-09,-5.720941E-12,-9.026637E-07
9.831522E-10,-5.933881E-09,-5.935605E-11,-2.900346E-06
2.603030E-09,-1.570781E-08,-4.110255E-10,-7.583247E-06
5.865334E-09,-3.538323E-08,-2.036885E-09,-1.663563E-05
1.061533E-08,-6.400759E-08,-6.447006E-09,-2.886932E-05
1.536533E-08,-9.260043E-08,-1.307114E-08,-3.994022E-05
2.011533E-08,-1.211589E-07,-2.167308E-08,-4.981251E-05
2.486533E-08,-1.496815E-07,-3.200745E-08,-5.845416E-05
2.961533E-08,-1.781677E-07,-4.382556E-08,-6.583377E-05
3.436533E-08,-2.066179E-07,-5.687683E-08,-7.192041E-05
3.911533E-08,-2.350330E-07,-7.090979E-08,-7.669114E-05
4.386533E-08,-2.634142E-07,-8.567559E-08,-8.015096E-05
4.861533E-08,-2.917629E-07,-1.009361E-07,-8.236398E-05
5.336533E-08,-3.200803E-07,-1.164773E-07,-8.348407E-05
5.811533E-08,-3.483674E-07,-1.321257E-07,-8.376395E-05
6.286533E-08,-3.766252E-07,-1.477615E-07,-8.352573E-05
6.761533E-08,-4.048541E-07,-1.633230E-07,-8.309492E-05
7.236533E-08,-4.330544E-07,-1.787981E-07,-8.272398E-05
7.711533E-08,-4.612260E-07,-1.942062E-07,-8.254211E-05
8.186533E-08,-4.893691E-07,-2.095772E-07,-8.255502E-05
8.661533E-08,-5.174841E-07,-2.249352E-07,-8.269023E-05
9.136533E-08,-5.455714E-07,-2.402917E-07,-8.285904E-05
9.611533E-08,-5.736316E-07,-2.556472E-07,-8.300222E-05
1.008653E-07,-6.016655E-07,-2.709965E-07,-8.310293E-05
1.056153E-07,-6.296736E-07,-2.863344E-07,-8.317360E-05
1.103653E-07,-6.576561E-07,-3.016578E-07,-8.323406E-05
1.151153E-07,-6.856135E-07,-3.169663E-07,-8.329711E-05
1.198653E-07,-7.135460E-07,-3.322601E-07,-8.336552E-05
1.246153E-07,-7.414540E-07,-3.475398E-07,-8.343647E-05
1.293653E-07,-7.693379E-07,-3.628051E-07,-8.350652E-05
1.341153E-07,-7.971982E-07,-3.780554E-07,-8.357415E-05
1.388653E-07,-8.250351E-07,-3.932901E-07,-8.363937E-05
1.436153E-07,-8.528490E-07,-4.085086E-07,-8.370288E-05
1.483653E-07,-8.806402E-07,-4.237103E-07,-8.376517E-05
1.531153E-07,-9.084091E-07,-4.388949E-07,-8.382657E-05
1.578653E-07,-9.361560E-07,-4.540619E-07,-8.388672E-05
1.626153E-07,-9.638810E-07,-4.692108E-07,-8.394556E-05
1.673653E-07,-9.915846E-07,-4.843411E-07,-8.400315E-05
1.721153E-07,-1.019267E-06,-4.994521E-07,-8.405957E-05
1.768653E-07,-1.046929E-06,-5.145433E-07,-8.411484E-05
1.816153E-07,-1.074570E-06,-5.296141E-07,-8.416900E-05
1.863653E-07,-1.102190E-06,-5.446642E-07,-8.422203E-05
1.911153E-07,-1.129790E-06,-5.596930E-07,-8.427390E-05
1.958653E-07,-1.157371E-06,-5.747003E-07,-8.432464E-05
2.006153E-07,-1.184932E-06,-5.896856E-07,-8.437399E-05
2.053653E-07,-1.212473E-06,-6.046486E-07,-8.442197E-05
2.101153E-07,-1.239995E-06,-6.195889E-07,-8.446867E-05
2.148653E-07,-1.267498E-06,-6.345060E-07,-8.451417E-05
2.196153E-07,-1.294982E-06,-6.493998E-07,-8.455854E-05
2.243653E-07,-1.322448E-06,-6.642700E-07,-8.460174E-05
2.291153E-07,-1.349895E-06,-6.791163E-07,-8.464376E-05
2.338653E-07,-1.377324E-06,-6.939386E-07,-8.468451E-05
2.386153E-07,-1.404734E-06,-7.087367E-07,-8.472392E-05
2.433653E-07,-1.432127E-06,-7.235103E-07,-8.476197E-05
2.481153E-07,-1.459502E-06,-7.382595E-07,-8.479860E-05
2.528653E-07,-1.486859E-06,-7.529841E-07,-8.483378E-05
2.576153E-07,-1.514198E-06,-7.676844E-07,-8.486732E-05
2.623653E-07,-1.541520E-06,-7.823602E-07,-8.489901E-05
2.671153E-07,-1.568824E-06,-7.970111E-07,-8.492877E-05
2.718653E-07,-1.596112E-06,-8.116366E-07,-8.495659E-05
2.766153E-07,-1.623382E-06,-8.262363E-07,-8.498247E-05
2.813653E-07,-1.650635E-06,-8.408095E-07,-8.500649E-05
2.861153E-07,-1.677871E-06,-8.553557E-07,-8.502881E-05
2.908653E-07,-1.705091E-06,-8.698746E-07,-8.504963E-05
2.956153E-07,-1.732294E-06,-8.843658E-07,-8.506922E-05
3.003653E-07,-1.759479E-06,-8.988287E-07,-8.508784E-05
3.051153E-07,-1.786649E-06,-9.132632E-07,-8.510575E-05
3.098653E-07,-1.813801E-06,-9.276690E-07,-8.512310E-05
3.146153E-07,-1.840937E-06,-9.420457E-07,-8.513992E-05
3.193653E-07,-1.868057E-06,-9.563931E-07,-8.515617E-05
3.241153E-07,-1.895160E-06,-9.707110E-07,-8.517178E-05
3.288653E-07,-1.922246E-06,-9.849991E-07,-8.518672E-05
3.336153E-07,-1.949316E-06,-9.992572E-07,-8.520096E-05
3.383653E-07,-1.976369E-06,-1.013485E-06,-8.521453E-05
3.431153E-07,-2.003406E-06,-1.027682E-06,-8.522740E-05
3.478653E-07,-2.030427E-06,-1.041849E-06,-8.523958E-05
3.526153E-07,-2.057431E-06,-1.055985E-06,-8.525107E-05
3.573653E-07,-2.084419E-06,-1.070089E-06,-8.526188E-05
3.621153E-07,-2.111390E-06,-1.084163E-06,-8.527199E-05
3.668653E-07,-2.138344E-06,-1.098205E-06,-8.528136E-05
3.716153E-07,-2.165282E-06,-1.112215E-06,-8.528994E-05
3.763653E-07,-2.192204E-06,-1.126194E-06,-8.529773E-05
3.811153E-07,-2.219109E-06,-1.140141E-06,-8.530466E-05
3.858653E-07,-2.245997E-06,-1.154056E-06,-8.531071E-05
3.906153E-07,-2.272868E-06,-1.167938E-06,-8.531585E-05
3.953653E-07,-2.299723E-06,-1.181787E-06,-8.532005E-05
4.001153E-07,-2.326561E-06,-1.195604E-06,-8.532329E-05
4.048653E-07,-2.353382E-06,-1.209388E-06,-8.532560E-05
4.096153E-07,-2.380186E-06,-1.223139E-06,-8.532699E-05
4.143653E-07,-2.406973E-06,-1.236857E-06,-8.532749E-05
4.191153E-07,-2.433743E-06,-1.250541E-06,-8.532714E-05
