t (s),I [Positive ions] (A),I [Negative ions] (A),I [Electrons] (A)
0.000000E+00,2.359330E-13,4.835421E-19,1.161017E-10
1.000000E-13,4.718659E-13,1.289443E-18,2.322025E-10
2.000000E-13,7.077989E-13,2.525152E-18,3.483019E-10
3.000000E-13,9.437318E-13,4.226483E-18,4.644000E-10
4.000000E-13,1.179665E-12,6.405370E-18,5.804967E-10
1.778147E-12,4.431167E-12,8.565755E-17,2.180336E-09
1.301729E-11,3.094802E-11,4.157731E-15,1.521791E-08
7.325901E-11,1.730780E-10,1.296678E-13,8.483496E-08
3.040950E-10,7.176953E-10,2.208530E-12,3.477669E-07
9.806800E-10,2.313974E-09,2.238732E-11,1.086078E-06
2.583260E-09,6.094933E-09,1.473340E-10,2.668213E-06
5.793684E-09,1.366910E-08,6.765438E-10,5.283418E-06
1.054368E-08,2.487506E-08,2.000549E-09,8.159994E-06
1.529368E-08,3.608045E-08,3.819299E-09,1.017553E-05
2.004368E-08,4.728522E-08,6.000041E-09,1.157701E-05
2.479368E-08,5.848933E-08,8.437831E-09,1.253787E-05
2.954368E-08,6.969274E-08,1.105264E-08,1.317953E-05
3.429368E-08,8.089540E-08,1.378426E-08,1.358899E-05
3.904368E-08,9.209729E-08,1.658786E-08,1.383054E-05
4.379368E-08,1.032984E-07,1.943068E-08,1.395322E-05
4.854368E-08,1.144986E-07,2.228955E-08,1.399564E-05
5.329368E-08,1.256980E-07,2.514917E-08,1.398880E-05
5.804368E-08,1.368965E-07,2.800060E-08,1.395728E-05
6.279368E-08,1.480940E-07,3.083988E-08,1.391932E-05
6.754368E-08,1.592906E-07,3.366647E-08,1.388644E-05
7.229368E-08,1.704862E-07,3.648175E-08,1.386365E-05
7.704368E-08,1.816808E-07,3.928770E-08,1.385062E-05
8.179368E-08,1.928742E-07,4.208590E-08,1.384394E-05
8.654368E-08,2.040666E-07,4.487721E-08,1.383959E-05
9.129368E-08,2.152579E-07,4.766181E-08,1.383468E-05
9.604368E-08,2.264480E-07,5.043948E-08,1.382811E-05
1.007937E-07,2.376370E-07,5.320993E-08,1.382009E-05
1.055437E-07,2.488247E-07,5.597294E-08,1.381140E-05
1.102937E-07,2.600112E-07,5.872845E-08,1.380266E-05
1.150437E-07,2.711964E-07,6.147645E-08,1.379413E-05
1.197937E-07,2.823803E-07,6.421697E-08,1.378577E-05
1.245437E-07,2.935629E-07,6.695000E-08,1.377745E-05
1.292937E-07,3.047441E-07,6.967556E-08,1.376907E-05
1.340437E-07,3.159240E-07,7.239365E-08,1.376060E-05
1.387937E-07,3.271024E-07,7.510429E-08,1.375207E-05
1.435437E-07,3.382793E-07,7.780748E-08,1.374347E-05
1.482937E-07,3.494548E-07,8.050323E-08,1.373483E-05
1.530437E-07,3.606288E-07,8.319157E-08,1.372615E-05
1.577937E-07,3.718012E-07,8.587248E-08,1.371741E-05
1.625437E-07,3.829720E-07,8.854599E-08,1.370861E-05
1.672937E-07,3.941412E-07,9.121207E-08,1.369976E-05
1.720437E-07,4.053088E-07,9.387075E-08,1.369086E-05
1.767937E-07,4.164747E-07,9.652201E-08,1.368190E-05
1.815437E-07,4.276390E-07,9.916584E-08,1.367288E-05
1.862937E-07,4.388014E-07,1.018022E-07,1.366381E-05
1.910437E-07,4.499621E-07,1.044312E-07,1.365469E-05
1.957937E-07,4.611210E-07,1.070526E-07,1.364551E-05
2.005437E-07,4.722781E-07,1.096665E-07,1.363628E-05
2.052937E-07,4.834333E-07,1.122728E-07,1.362700E-05
2.100437E-07,4.945866E-07,1.148716E-07,1.361767E-05
2.147937E-07,5.057380E-07,1.174627E-07,1.360829E-05
2.195437E-07,5.168874E-07,1.200461E-07,1.359886E-05
2.242937E-07,5.280348E-07,1.226219E-07,1.358939E-05
2.290437E-07,5.391802E-07,1.251899E-07,1.357987E-05
2.337937E-07,5.503235E-07,1.277501E-07,1.357031E-05
2.385437E-07,5.614647E-07,1.303025E-07,1.356070E-05
2.432937E-07,5.726038E-07,1.328471E-07,1.355105E-05
2.480437E-07,5.837407E-07,1.353839E-07,1.354136E-05
2.527937E-07,5.948754E-07,1.379127E-07,1.353163E-05
2.575437E-07,6.060079E-07,1.404338E-07,1.352185E-05
2.622937E-07,6.171381E-07,1.429469E-07,1.351203E-05
2.670437E-07,6.282660E-07,1.454522E-07,1.350217E-05
2.717937E-07,6.393915E-07,1.479496E-07,1.349226E-05
2.765437E-07,6.505147E-07,1.504391E-07,1.348231E-05
2.812937E-07,6.616355E-07,1.529206E-07,1.347232E-05
2.860437E-07,6.727538E-07,1.553942E-07,1.346228E-05
2.907937E-07,6.838697E-07,1.578599E-07,1.345220E-05
2.955437E-07,6.949830E-07,1.603176E-07,1.344208E-05
3.002937E-07,7.060938E-07,1.627673E-07,1.343192E-05
3.050437E-07,7.172020E-07,1.652089E-07,1.342172E-05
3.097937E-07,7.283076E-07,1.676426E-07,1.341147E-05
3.145437E-07,7.394106E-07,1.700683E-07,1.340119E-05
3.192937E-07,7.505108E-07,1.724859E-07,1.339086E-05
3.240437E-07,7.616083E-07,1.748955E-07,1.338049E-05
3.287937E-07,7.727031E-07,1.772970E-07,1.337008E-05
3.335437E-07,7.837950E-07,1.796905E-07,1.335963E-05
3.382937E-07,7.948841E-07,1.820758E-07,1.334913E-05
3.430437E-07,8.059704E-07,1.844531E-07,1.333860E-05
3.477937E-07,8.170537E-07,1.868222E-07,1.332803E-05
3.525437E-07,8.281341E-07,1.891832E-07,1.331741E-05
3.572937E-07,8.392115E-07,1.915361E-07,1.330676E-05
3.620437E-07,8.502859E-07,1.938808E-07,1.329608E-05
3.667937E-07,8.613573E-07,1.962173E-07,1.328535E-05
3.715437E-07,8.724255E-07,1.985457E-07,1.327460E-05
3.762937E-07,8.834907E-07,2.008659E-07,1.326381E-05
3.810437E-07,8.945526E-07,2.031779E-07,1.325299E-05
3.857937E-07,9.056114E-07,2.054817E-07,1.324213E-05
3.905437E-07,9.166669E-07,2.077774E-07,1.323123E-05
3.952937E-07,9.277192E-07,2.100648E-07,1.322031E-05
4.000437E-07,9.387681E-07,2.123439E-07,1.320934E-05
4.047937E-07,9.498137E-07,2.146149E-07,1.319834E-05
4.095437E-07,9.608559E-07,2.168776E-07,1.318730E-05
4.142937E-07,9.718947E-07,2.191320E-07,1.317622E-05
4.190437E-07,9.829300E-07,2.213782E-07,1.316509E-05
4.237937E-07,9.939618E-07,2.236161E-07,1.315393E-05
4.285437E-07,1.004990E-06,2.258458E-07,1.314273E-05
4.332937E-07,1.016015E-06,2.280672E-07,1.313149E-05
4.380437E-07,1.027036E-06,2.302803E-07,1.312020E-05
4.427937E-07,1.038053E-06,2.324852E-07,1.310889E-05
4.475437E-07,1.049067E-06,2.346818E-07,1.309753E-05
4.522937E-07,1.060077E-06,2.368701E-07,1.308614E-05
4.570437E-07,1.071083E-06,2.390501E-07,1.307471E-05
4.617937E-07,1.082086E-06,2.412219E-07,1.306324E-05
4.665437E-07,1.093085E-06,2.433853E-07,1.305174E-05
4.712937E-07,1.104079E-06,2.455405E-07,1.304019E-05
4.760437E-07,1.115070E-06,2.476874E-07,1.302862E-05
4.807937E-07,1.126057E-06,2.498259E-07,1.301701E-05
4.855437E-07,1.137040E-06,2.519562E-07,1.300536E-05
4.902937E-07,1.148019E-06,2.540781E-07,1.299369E-05
4.950437E-07,1.158994E-06,2.561916E-07,1.298198E-05
4.997937E-07,1.169964E-06,2.582969E-07,1.297024E-05
5.045437E-07,1.180931E-06,2.603938E-07,1.295848E-05
5.092937E-07,1.191893E-06,2.624823E-07,1.294669E-05
5.140437E-07,1.202852E-06,2.645625E-07,1.293488E-05
5.187937E-07,1.213805E-06,2.666343E-07,1.292305E-05
5.235437E-07,1.224755E-06,2.686977E-07,1.291119E-05
5.282937E-07,1.235700E-06,2.707528E-07,1.289931E-05
5.330437E-07,1.246641E-06,2.727994E-07,1.288741E-05
5.377937E-07,1.257578E-06,2.748377E-07,1.287548E-05
5.425437E-07,1.268510E-06,2.768676E-07,1.286352E-05
5.472937E-07,1.279437E-06,2.788892E-07,1.285155E-05
5.520437E-07,1.290360E-06,2.809024E-07,1.283954E-05
5.567937E-07,1.301279E-06,2.829073E-07,1.282750E-05
5.615437E-07,1.312193E-06,2.849039E-07,1.281543E-05
5.662937E-07,1.323102E-06,2.868921E-07,1.280334E-05
5.710437E-07,1.334007E-06,2.888720E-07,1.279121E-05
5.757937E-07,1.344906E-06,2.908435E-07,1.277907E-05
5.805437E-07,1.355801E-06,2.928068E-07,1.276689E-05
5.852937E-07,1.366692E-06,2.947617E-07,1.275469E-05
5.900437E-07,1.377577E-06,2.967083E-07,1.274247E-05
5.947937E-07,1.388458E-06,2.986466E-07,1.273022E-05
5.995437E-07,1.399334E-06,3.005766E-07,1.271794E-05
6.042937E-07,1.410204E-06,3.024983E-07,1.270565E-05
6.090437E-07,1.421070E-06,3.044117E-07,1.269335E-05
6.137937E-07,1.431931E-06,3.063168E-07,1.268103E-05
6.185437E-07,1.442786E-06,3.082137E-07,1.266869E-05
6.232937E-07,1.453637E-06,3.101023E-07,1.265633E-05
6.280437E-07,1.464482E-06,3.119826E-07,1.264395E-05
6.327937E-07,1.475323E-06,3.138546E-07,1.263156E-05
6.375437E-07,1.486158E-06,3.157184E-07,1.261915E-05
6.422937E-07,1.496988E-06,3.175740E-07,1.260672E-05
6.470437E-07,1.507812E-06,3.194213E-07,1.259428E-05
6.517937E-07,1.518631E-06,3.212604E-07,1.258182E-05
6.565437E-07,1.529445E-06,3.230913E-07,1.256934E-05
6.612937E-07,1.540253E-06,3.249139E-07,1.255684E-05
6.660437E-07,1.551056E-06,3.267283E-07,1.254433E-05
6.707937E-07,1.561854E-06,3.285345E-07,1.253180E-05
6.755437E-07,1.572646E-06,3.303326E-07,1.251925E-05
6.802937E-07,1.583432E-06,3.321225E-07,1.250669E-05
6.850437E-07,1.594213E-06,3.339041E-07,1.249411E-05
6.897937E-07,1.604988E-06,3.356777E-07,1.248152E-05
6.945437E-07,1.615758E-06,3.374431E-07,1.246892E-05
6.992937E-07,1.626522E-06,3.392003E-07,1.245631E-05
7.040437E-07,1.637280E-06,3.409495E-07,1.244369E-05
7.087937E-07,1.648032E-06,3.426905E-07,1.243105E-05
7.135437E-07,1.658779E-06,3.444234E-07,1.241841E-05
7.182937E-07,1.669519E-06,3.461482E-07,1.240576E-05
7.230437E-07,1.680254E-06,3.478649E-07,1.239310E-05
7.277937E-07,1.690983E-06,3.495736E-07,1.238043E-05
7.325437E-07,1.701706E-06,3.512743E-07,1.236776E-05
7.372937E-07,1.712422E-06,3.529669E-07,1.235507E-05
7.420437E-07,1.723133E-06,3.546515E-07,1.234238E-05
7.467937E-07,1.733838E-06,3.563282E-07,1.232969E-05
7.515437E-07,1.744537E-06,3.579968E-07,1.231699E-05
7.562937E-07,1.755229E-06,3.596575E-07,1.230428E-05
7.610437E-07,1.765915E-06,3.613103E-07,1.229157E-05
7.657937E-07,1.776595E-06,3.629551E-07,1.227885E-05
7.705437E-07,1.787269E-06,3.645920E-07,1.226613E-05
7.752937E-07,1.797937E-06,3.662211E-07,1.225340E-05
7.800437E-07,1.808598E-06,3.678422E-07,1.224066E-05
7.847937E-07,1.819253E-06,3.694555E-07,1.222793E-05
7.895437E-07,1.829901E-06,3.710610E-07,1.221519E-05
7.942937E-07,1.840543E-06,3.726587E-07,1.220244E-05
7.990437E-07,1.851178E-06,3.742485E-07,1.218970E-05
8.037937E-07,1.861807E-06,3.758306E-07,1.217696E-05
8.085437E-07,1.872430E-06,3.774049E-07,1.216421E-05
8.132937E-07,1.883045E-06,3.789715E-07,1.215147E-05
8.180437E-07,1.893654E-06,3.805304E-07,1.213872E-05
8.227937E-07,1.904257E-06,3.820816E-07,1.212598E-05
8.275437E-07,1.914853E-06,3.836251E-07,1.211323E-05
8.322937E-07,1.925442E-06,3.851609E-07,1.210049E-05
8.370437E-07,1.936024E-06,3.866891E-07,1.208775E-05
8.417937E-07,1.946600E-06,3.882097E-07,1.207501E-05
8.465437E-07,1.957168E-06,3.897227E-07,1.206227E-05
