t (s),I [Positive ions] (A),I [Negative ions] (A),I [Electrons] (A)
0.000000E+00,5.244781E-16,1.074912E-21,2.580937E-13
1.000000E-13,1.048956E-15,2.866427E-21,5.161852E-13
2.000000E-13,1.573434E-15,5.613405E-21,7.742740E-13
3.000000E-13,2.097912E-15,9.395458E-21,1.032360E-12
4.000000E-13,2.622391E-15,1.423911E-20,1.290442E-12
1.778147E-12,9.850468E-15,1.904164E-19,4.846878E-12
1.301729E-11,6.879733E-14,9.242620E-18,3.382935E-11
7.325901E-11,3.847519E-13,2.882511E-16,1.885878E-10
3.040950E-10,1.595434E-12,4.909554E-15,7.730847E-10
9.806800E-10,5.143956E-12,4.976693E-14,2.414349E-09
2.583260E-09,1.354902E-11,3.275230E-13,5.931432E-09
5.793683E-09,3.038641E-11,1.503961E-12,1.174509E-08
1.054368E-08,5.529742E-11,4.447419E-12,1.814045E-08
1.529368E-08,8.020739E-11,8.492345E-12,2.262426E-08
2.004368E-08,1.051163E-10,1.334606E-11,2.574660E-08
2.479368E-08,1.300241E-10,1.877812E-11,2.789327E-08
2.954368E-08,1.549308E-10,2.461327E-11,2.933370E-08
3.429368E-08,1.798363E-10,3.071978E-11,3.026045E-08
3.904368E-08,2.047407E-10,3.699940E-11,3.081537E-08
4.379368E-08,2.296438E-10,4.337994E-11,3.110648E-08
4.854368E-08,2.545458E-10,4.980993E-11,3.121882E-08
5.329368E-08,2.794466E-10,5.625490E-11,3.122082E-08
5.804368E-08,3.043461E-10,6.269435E-11,3.116718E-08
6.279368E-08,3.292443E-10,6.911877E-11,3.109882E-08
6.754368E-08,3.541413E-10,7.552649E-11,3.104193E-08
7.229368E-08,3.790371E-10,8.192041E-11,3.100800E-08
7.704368E-08,4.039316E-10,8.830495E-11,3.099641E-08
8.179368E-08,4.288248E-10,9.468387E-11,3.099944E-08
8.654368E-08,4.537167E-10,1.010593E-10,3.100786E-08
9.129368E-08,4.786073E-10,1.074319E-10,3.101508E-08
9.604368E-08,5.034967E-10,1.138011E-10,3.101854E-08
1.007937E-07,5.283848E-10,1.201665E-10,3.101880E-08
1.055437E-07,5.532716E-10,1.265275E-10,3.101765E-08
1.102937E-07,5.781571E-10,1.328840E-10,3.101652E-08
1.150437E-07,6.030413E-10,1.392360E-10,3.101598E-08
1.197937E-07,6.279242E-10,1.455838E-10,3.101593E-08
