t (s),I [Positive ions] (A),I [Negative ions] (A),I [Electrons] (A)
0.000000E+00,2.147693E-15,4.401675E-21,1.056872E-12
1.000000E-13,4.295387E-15,1.173778E-20,2.113735E-12
2.000000E-13,6.443080E-15,2.298642E-20,3.170586E-12
3.000000E-13,8.590773E-15,3.847360E-20,4.227425E-12
4.000000E-13,1.073847E-14,5.830796E-20,5.284251E-12
1.778147E-12,4.033683E-14,7.797391E-19,1.984756E-11
1.301729E-11,2.817192E-13,3.784775E-17,1.385283E-10
7.325901E-11,1.575526E-12,1.180364E-15,7.722511E-10
3.040950E-10,6.533167E-12,2.010421E-14,3.165716E-09
9.806800E-10,2.106406E-11,2.037914E-13,9.886553E-09
2.583260E-09,5.548208E-11,1.341179E-12,2.428871E-08
5.793683E-09,1.244298E-10,6.158591E-12,4.809514E-08
1.054368E-08,2.264382E-10,1.821180E-11,7.428357E-08
1.529368E-08,3.284424E-10,3.477537E-11,9.264429E-08
2.004368E-08,4.304423E-10,5.465076E-11,1.054298E-07
2.479368E-08,5.324376E-10,7.689422E-11,1.142200E-07
2.954368E-08,6.344283E-10,1.007880E-10,1.201180E-07
3.429368E-08,7.364143E-10,1.257927E-10,1.239125E-07
3.904368E-08,8.383954E-10,1.515059E-10,1.261843E-07
4.379368E-08,9.403717E-10,1.776319E-10,1.273759E-07
4.854368E-08,1.042343E-09,2.039601E-10,1.278354E-07
5.329368E-08,1.144309E-09,2.303492E-10,1.278431E-07
5.804368E-08,1.246271E-09,2.567154E-10,1.276230E-07
6.279368E-08,1.348227E-09,2.830197E-10,1.273427E-07
6.754368E-08,1.450178E-09,3.092553E-10,1.271093E-07
7.229368E-08,1.552123E-09,3.354340E-10,1.269699E-07
7.704368E-08,1.654064E-09,3.615740E-10,1.269219E-07
8.179368E-08,1.755999E-09,3.876908E-10,1.269339E-07
8.654368E-08,1.857929E-09,4.137930E-10,1.269679E-07
9.129368E-08,1.959854E-09,4.398829E-10,1.269970E-07
9.604368E-08,2.061773E-09,4.659591E-10,1.270106E-07
1.007937E-07,2.163687E-09,4.920189E-10,1.270113E-07
1.055437E-07,2.265596E-09,5.180605E-10,1.270060E-07
1.102937E-07,2.367500E-09,5.440835E-10,1.270009E-07
1.150437E-07,2.469398E-09,5.700880E-10,1.269983E-07
1.197937E-07,2.571291E-09,5.960743E-10,1.269976E-07
1.245437E-07,2.673178E-09,6.220428E-10,1.269976E-07
1.292937E-07,2.775061E-09,6.479936E-10,1.269975E-07
1.340437E-07,2.876937E-09,6.739266E-10,1.269971E-07
1.387937E-07,2.978809E-09,6.998417E-10,1.269964E-07
1.435437E-07,3.080675E-09,7.257391E-10,1.269957E-07
1.482937E-07,3.182536E-09,7.516187E-10,1.269950E-07
1.530437E-07,3.284392E-09,7.774805E-10,1.269944E-07
1.577937E-07,3.386242E-09,8.033246E-10,1.269937E-07
1.625437E-07,3.488087E-09,8.291511E-10,1.269931E-07
1.672937E-07,3.589926E-09,8.549598E-10,1.269925E-07
1.720437E-07,3.691761E-09,8.807509E-10,1.269919E-07
1.767937E-07,3.793589E-09,9.065243E-10,1.269912E-07
1.815437E-07,3.895413E-09,9.322801E-10,1.269906E-07
1.862937E-07,3.997231E-09,9.580183E-10,1.269900E-07
1.910437E-07,4.099044E-09,9.837390E-10,1.269893E-07
1.957937E-07,4.200851E-09,1.009442E-09,1.269887E-07
2.005437E-07,4.302653E-09,1.035128E-09,1.269881E-07
2.052937E-07,4.404450E-09,1.060796E-09,1.269874E-07
2.100437E-07,4.506242E-09,1.086446E-09,1.269868E-07
2.147937E-07,4.608028E-09,1.112079E-09,1.269862E-07
2.195437E-07,4.709808E-09,1.137695E-09,1.269855E-07
2.242937E-07,4.811584E-09,1.163293E-09,1.269849E-07
2.290437E-07,4.913354E-09,1.188874E-09,1.269843E-07
2.337937E-07,5.015118E-09,1.214437E-09,1.269836E-07
2.385437E-07,5.116877E-09,1.239984E-09,1.269830E-07
2.432937E-07,5.218631E-09,1.265512E-09,1.269824E-07
2.480437E-07,5.320380E-09,1.291024E-09,1.269817E-07
2.527937E-07,5.422123E-09,1.316518E-09,1.269811E-07
2.575437E-07,5.523861E-09,1.341995E-09,1.269805E-07
2.622937E-07,5.625593E-09,1.367454E-09,1.269798E-07
2.670437E-07,5.727320E-09,1.392897E-09,1.269792E-07
2.717937E-07,5.829041E-09,1.418322E-09,1.269786E-07
2.765437E-07,5.930757E-09,1.443729E-09,1.269779E-07
2.812937E-07,6.032468E-09,1.469120E-09,1.269773E-07
2.860437E-07,6.134174E-09,1.494494E-09,1.269767E-07
2.907937E-07,6.235873E-09,1.519850E-09,1.269760E-07
2.955437E-07,6.337568E-09,1.545189E-09,1.269754E-07
3.002937E-07,6.439257E-09,1.570512E-09,1.269748E-07
3.050437E-07,6.540941E-09,1.595817E-09,1.269741E-07
3.097937E-07,6.642619E-09,1.621105E-09,1.269735E-07
3.145437E-07,6.744292E-09,1.646376E-09,1.269729E-07
3.192937E-07,6.845959E-09,1.671630E-09,1.269722E-07
3.240437E-07,6.947621E-09,1.696867E-09,1.269716E-07
3.287937E-07,7.049278E-09,1.722087E-09,1.269709E-07
3.335437E-07,7.150929E-09,1.747290E-09,1.269703E-07
3.382937E-07,7.252575E-09,1.772476E-09,1.269697E-07
3.430437E-07,7.354215E-09,1.797645E-09,1.269690E-07
3.477937E-07,7.455850E-09,1.822797E-09,1.269684E-07
3.525437E-07,7.557479E-09,1.847933E-09,1.269678E-07
3.572937E-07,7.659103E-09,1.873051E-09,1.269671E-07
3.620437E-07,7.760722E-09,1.898153E-09,1.269665E-07
3.667937E-07,7.862335E-09,1.923238E-09,1.269659E-07
3.715437E-07,7.963943E-09,1.948306E-09,1.269652E-07
3.762937E-07,8.065545E-09,1.973357E-09,1.269646E-07
3.810437E-07,8.167141E-09,1.998391E-09,1.269639E-07
3.857937E-07,8.268733E-09,2.023409E-09,1.269633E-07
3.905437E-07,8.370318E-09,2.048410E-09,1.269627E-07
3.952937E-07,8.471899E-09,2.073394E-09,1.269620E-07
4.000437E-07,8.573474E-09,2.098362E-09,1.269614E-07
4.047937E-07,8.675043E-09,2.123312E-09,1.269607E-07
4.095437E-07,8.776607E-09,2.148247E-09,1.269601E-07
4.142937E-07,8.878165E-09,2.173164E-09,1.269595E-07
4.190437E-07,8.979718E-09,2.198065E-09,1.269588E-07
4.237937E-07,9.081265E-09,2.222949E-09,1.269582E-07
4.285437E-07,9.182807E-09,2.247817E-09,1.269576E-07
4.332937E-07,9.284344E-09,2.272668E-09,1.269569E-07
4.380437E-07,9.385875E-09,2.297503E-09,1.269563E-07
4.427937E-07,9.487400E-09,2.322321E-09,1.269556E-07
4.475437E-07,9.588920E-09,2.347122E-09,1.269550E-07
4.522937E-07,9.690435E-09,2.371907E-09,1.269543E-07
4.570437E-07,9.791944E-09,2.396676E-09,1.269537E-07
4.617937E-07,9.893447E-09,2.421428E-09,1.269531E-07
4.665437E-07,9.994945E-09,2.446163E-09,1.269524E-07
4.712937E-07,1.009644E-08,2.470882E-09,1.269518E-07
4.760437E-07,1.019792E-08,2.495585E-09,1.269511E-07
