t (s),I [Positive ions] (A),I [Negative ions] (A),I [Electrons] (A)
0.000000E+00,-2.845599E-14,-5.836527E-20,-1.401516E-11
1.000000E-13,-5.691198E-14,-1.556406E-19,-2.803029E-11
2.000000E-13,-8.536797E-14,-3.047960E-19,-4.204539E-11
3.000000E-13,-1.138240E-13,-5.101546E-19,-5.606045E-11
4.000000E-13,-1.422799E-13,-7.731573E-19,-7.007548E-11
1.778325E-12,-5.344959E-13,-1.034171E-17,-2.632443E-10
1.302020E-11,-3.733479E-12,-5.023152E-16,-1.838528E-09
7.328689E-11,-2.088286E-11,-1.570373E-14,-1.027768E-08
3.043542E-10,-8.663363E-11,-2.697347E-13,-4.255939E-08
9.831522E-10,-2.797746E-10,-2.798558E-12,-1.367475E-07
2.603030E-09,-7.406029E-10,-1.937930E-11,-3.575401E-07
5.865331E-09,-1.668278E-09,-9.603648E-11,-7.843507E-07
1.061533E-08,-3.017910E-09,-3.039752E-10,-1.361194E-06
1.536533E-08,-4.366102E-09,-6.163581E-10,-1.883389E-06
2.011533E-08,-5.712742E-09,-1.022136E-09,-2.349483E-06
2.486533E-08,-7.057768E-09,-1.509887E-09,-2.758199E-06
2.961533E-08,-8.401165E-09,-2.068086E-09,-3.108203E-06
3.436533E-08,-9.742948E-09,-2.685160E-09,-3.397995E-06
3.911533E-08,-1.108314E-08,-3.349496E-09,-3.626190E-06
4.386533E-08,-1.242177E-08,-4.049548E-09,-3.792436E-06
4.861533E-08,-1.375885E-08,-4.774161E-09,-3.898974E-06
5.336533E-08,-1.509439E-08,-5.513170E-09,-3.952315E-06
5.811533E-08,-1.642840E-08,-6.258177E-09,-3.963978E-06
6.286533E-08,-1.776087E-08,-7.003241E-09,-3.949312E-06
6.761533E-08,-1.909182E-08,-7.745177E-09,-3.924336E-06
7.236533E-08,-2.042124E-08,-8.483240E-09,-3.901818E-06
7.711533E-08,-2.174914E-08,-9.218303E-09,-3.888513E-06
8.186533E-08,-2.307553E-08,-9.951829E-09,-3.884946E-06
8.661533E-08,-2.440041E-08,-1.068505E-08,-3.887604E-06
9.136533E-08,-2.572380E-08,-1.141859E-08,-3.892070E-06
9.611533E-08,-2.704569E-08,-1.215251E-08,-3.895376E-06
1.008653E-07,-2.836611E-08,-1.288660E-08,-3.896682E-06
1.056153E-07,-2.968504E-08,-1.362061E-08,-3.896606E-06
1.103653E-07,-3.100251E-08,-1.435443E-08,-3.896128E-06
1.151153E-07,-3.231850E-08,-1.508803E-08,-3.895870E-06
1.198653E-07,-3.363303E-08,-1.582146E-08,-3.895956E-06
1.246153E-07,-3.494611E-08,-1.655475E-08,-3.896238E-06
1.293653E-07,-3.625774E-08,-1.728791E-08,-3.896546E-06
1.341153E-07,-3.756793E-08,-1.802095E-08,-3.896804E-06
1.388653E-07,-3.887668E-08,-1.875386E-08,-3.897015E-06
1.436153E-07,-4.018400E-08,-1.948663E-08,-3.897211E-06
1.483653E-07,-4.148990E-08,-2.021927E-08,-3.897410E-06
1.531153E-07,-4.279437E-08,-2.095177E-08,-3.897617E-06
1.578653E-07,-4.409743E-08,-2.168415E-08,-3.897828E-06
1.626153E-07,-4.539908E-08,-2.241639E-08,-3.898038E-06
1.673653E-07,-4.669933E-08,-2.314851E-08,-3.898248E-06
1.721153E-07,-4.799819E-08,-2.388049E-08,-3.898456E-06
1.768653E-07,-4.929565E-08,-2.461235E-08,-3.898664E-06
1.816153E-07,-5.059173E-08,-2.534407E-08,-3.898872E-06
1.863653E-07,-5.188642E-08,-2.607567E-08,-3.899080E-06
1.911153E-07,-5.317974E-08,-2.680714E-08,-3.899288E-06
1.958653E-07,-5.447169E-08,-2.753848E-08,-3.899496E-06
2.006153E-07,-5.576228E-08,-2.826969E-08,-3.899704E-06
2.053653E-07,-5.705150E-08,-2.900078E-08,-3.899912E-06
2.101153E-07,-5.833937E-08,-2.973174E-08,-3.900120E-06
2.148653E-07,-5.962590E-08,-3.046257E-08,-3.900327E-06
2.196153E-07,-6.091108E-08,-3.119327E-08,-3.900535E-06
2.243653E-07,-6.219492E-08,-3.192385E-08,-3.900743E-06
2.291153E-07,-6.347743E-08,-3.265429E-08,-3.900951E-06
2.338653E-07,-6.475861E-08,-3.338461E-08,-3.901158E-06
2.386153E-07,-6.603846E-08,-3.411479E-08,-3.901366E-06
2.433653E-07,-6.731700E-08,-3.484485E-08,-3.901573E-06
2.481153E-07,-6.859423E-08,-3.557477E-08,-3.901780E-06
2.528653E-07,-6.987015E-08,-3.630456E-08,-3.901988E-06
2.576153E-07,-7.114476E-08,-3.703422E-08,-3.902194E-06
2.623653E-07,-7.241807E-08,-3.776375E-08,-3.902401E-06
2.671153E-07,-7.369010E-08,-3.849314E-08,-3.902607E-06
2.718653E-07,-7.496083E-08,-3.922240E-08,-3.902814E-06
2.766153E-07,-7.623028E-08,-3.995152E-08,-3.903020E-06
2.813653E-07,-7.749844E-08,-4.068051E-08,-3.903226E-06
2.861153E-07,-7.876534E-08,-4.140936E-08,-3.903431E-06
2.908653E-07,-8.003096E-08,-4.213807E-08,-3.903637E-06
2.956153E-07,-8.129532E-08,-4.286665E-08,-3.903842E-06
3.003653E-07,-8.255842E-08,-4.359508E-08,-3.904048E-06
3.051153E-07,-8.382026E-08,-4.432338E-08,-3.904253E-06
3.098653E-07,-8.508085E-08,-4.505154E-08,-3.904457E-06
3.146153E-07,-8.634019E-08,-4.577956E-08,-3.904662E-06
3.193653E-07,-8.759829E-08,-4.650744E-08,-3.904866E-06
3.241153E-07,-8.885515E-08,-4.723517E-08,-3.905070E-06
3.288653E-07,-9.011078E-08,-4.796277E-08,-3.905274E-06
3.336153E-07,-9.136518E-08,-4.869022E-08,-3.905478E-06
3.383653E-07,-9.261835E-08,-4.941753E-08,-3.905681E-06
3.431153E-07,-9.387031E-08,-5.014470E-08,-3.905884E-06
3.478653E-07,-9.512104E-08,-5.087173E-08,-3.906087E-06
3.526153E-07,-9.637057E-08,-5.159860E-08,-3.906290E-06
3.573653E-07,-9.761888E-08,-5.232534E-08,-3.906493E-06
3.621153E-07,-9.886600E-08,-5.305193E-08,-3.906695E-06
3.668653E-07,-1.001119E-07,-5.377837E-08,-3.906898E-06
3.716153E-07,-1.013566E-07,-5.450467E-08,-3.907100E-06
3.763653E-07,-1.026002E-07,-5.523082E-08,-3.907301E-06
3.811153E-07,-1.038425E-07,-5.595683E-08,-3.907503E-06
3.858653E-07,-1.050837E-07,-5.668269E-08,-3.907704E-06
3.906153E-07,-1.063236E-07,-5.740841E-08,-3.907905E-06
3.953653E-07,-1.075624E-07,-5.813398E-08,-3.908106E-06
4.001153E-07,-1.088001E-07,-5.885941E-08,-3.908307E-06
4.048653E-07,-1.100365E-07,-5.958469E-08,-3.908507E-06
4.096153E-07,-1.112718E-07,-6.030983E-08,-3.908707E-06
4.143653E-07,-1.125060E-07,-6.103482E-08,-3.908907E-06
4.191153E-07,-1.137390E-07,-6.175967E-08,-3.909107E-06
4.238653E-07,-1.149708E-07,-6.248438E-08,-3.909306E-06
4.286153E-07,-1.162015E-07,-6.320894E-08,-3.909506E-06
4.333653E-07,-1.174310E-07,-6.393336E-08,-3.909705E-06
4.381153E-07,-1.186594E-07,-6.465764E-08,-3.909904E-06
4.428653E-07,-1.198867E-07,-6.538177E-08,-3.910102E-06
4.476153E-07,-1.211129E-07,-6.610576E-08,-3.910301E-06
4.523653E-07,-1.223379E-07,-6.682961E-08,-3.910499E-06
4.571153E-07,-1.235618E-07,-6.755332E-08,-3.910697E-06
4.618653E-07,-1.247845E-07,-6.827688E-08,-3.910895E-06
4.666153E-07,-1.260062E-07,-6.900031E-08,-3.911093E-06
4.713653E-07,-1.272267E-07,-6.972359E-08,-3.911290E-06
4.761153E-07,-1.284461E-07,-7.044673E-08,-3.911487E-06
4.808653E-07,-1.296644E-07,-7.116973E-08,-3.911684E-06
4.856153E-07,-1.308817E-07,-7.189259E-08,-3.911880E-06
4.903653E-07,-1.320978E-07,-7.261531E-08,-3.912076E-06
4.951153E-07,-1.333128E-07,-7.333789E-08,-3.912273E-06
4.998653E-07,-1.345267E-07,-7.406034E-08,-3.912468E-06
5.046153E-07,-1.357396E-07,-7.478264E-08,-3.912664E-06
5.093653E-07,-1.369513E-07,-7.550480E-08,-3.912859E-06
5.141153E-07,-1.381620E-07,-7.622682E-08,-3.913054E-06
5.188653E-07,-1.393716E-07,-7.694871E-08,-3.913249E-06
5.236153E-07,-1.405801E-07,-7.767045E-08,-3.913444E-06
5.283653E-07,-1.417876E-07,-7.839206E-08,-3.913639E-06
5.331153E-07,-1.429939E-07,-7.911352E-08,-3.913833E-06
5.378653E-07,-1.441992E-07,-7.983485E-08,-3.914027E-06
5.426153E-07,-1.454035E-07,-8.055604E-08,-3.914220E-06
5.473653E-07,-1.466067E-07,-8.127709E-08,-3.914414E-06
5.521153E-07,-1.478088E-07,-8.199800E-08,-3.914607E-06
5.568653E-07,-1.490099E-07,-8.271878E-08,-3.914800E-06
5.616153E-07,-1.502100E-07,-8.343941E-08,-3.914993E-06
5.663653E-07,-1.514090E-07,-8.415990E-08,-3.915185E-06
5.711153E-07,-1.526069E-07,-8.488026E-08,-3.915377E-06
5.758653E-07,-1.538038E-07,-8.560047E-08,-3.915570E-06
5.806153E-07,-1.549997E-07,-8.632054E-08,-3.915761E-06
5.853653E-07,-1.561946E-07,-8.704048E-08,-3.915953E-06
5.901153E-07,-1.573884E-07,-8.776027E-08,-3.916144E-06
5.948653E-07,-1.585812E-07,-8.847992E-08,-3.916335E-06
5.996153E-07,-1.597729E-07,-8.919943E-08,-3.916526E-06
6.043653E-07,-1.609637E-07,-8.991880E-08,-3.916716E-06
6.091153E-07,-1.621534E-07,-9.063802E-08,-3.916906E-06
6.138653E-07,-1.633421E-07,-9.135711E-08,-3.917096E-06
6.186153E-07,-1.645298E-07,-9.207605E-08,-3.917286E-06
6.233653E-07,-1.657165E-07,-9.279484E-08,-3.917475E-06
6.281153E-07,-1.669022E-07,-9.351350E-08,-3.917665E-06
6.328653E-07,-1.680869E-07,-9.423201E-08,-3.917854E-06
6.376153E-07,-1.692706E-07,-9.495037E-08,-3.918043E-06
6.423653E-07,-1.704533E-07,-9.566859E-08,-3.918231E-06
6.471153E-07,-1.716350E-07,-9.638667E-08,-3.918420E-06
6.518653E-07,-1.728157E-07,-9.710460E-08,-3.918608E-06
6.566153E-07,-1.739955E-07,-9.782239E-08,-3.918796E-06
6.613653E-07,-1.751742E-07,-9.854003E-08,-3.918984E-06
6.661153E-07,-1.763520E-07,-9.925753E-08,-3.919171E-06
6.708653E-07,-1.775287E-07,-9.997487E-08,-3.919358E-06
6.756153E-07,-1.787046E-07,-1.006921E-07,-3.919545E-06
6.803653E-07,-1.798794E-07,-1.014091E-07,-3.919732E-06
6.851153E-07,-1.810533E-07,-1.021260E-07,-3.919918E-06
6.898653E-07,-1.822262E-07,-1.028428E-07,-3.920104E-06
6.946153E-07,-1.833981E-07,-1.035594E-07,-3.920290E-06
6.993653E-07,-1.845691E-07,-1.042759E-07,-3.920476E-06
7.041153E-07,-1.857391E-07,-1.049922E-07,-3.920661E-06
7.088653E-07,-1.869081E-07,-1.057084E-07,-3.920846E-06
7.136153E-07,-1.880762E-07,-1.064244E-07,-3.921031E-06
7.183653E-07,-1.892434E-07,-1.071402E-07,-3.921216E-06
7.231153E-07,-1.904096E-07,-1.078560E-07,-3.921400E-06
7.278653E-07,-1.915748E-07,-1.085715E-07,-3.921584E-06
7.326153E-07,-1.927391E-07,-1.092870E-07,-3.921768E-06
7.373653E-07,-1.939025E-07,-1.100022E-07,-3.921951E-06
7.421153E-07,-1.950649E-07,-1.107173E-07,-3.922134E-06
7.468653E-07,-1.962264E-07,-1.114323E-07,-3.922317E-06
7.516153E-07,-1.973870E-07,-1.121471E-07,-3.922500E-06
7.563653E-07,-1.985466E-07,-1.128618E-07,-3.922682E-06
7.611153E-07,-1.997053E-07,-1.135763E-07,-3.922865E-06
7.658653E-07,-2.008631E-07,-1.142906E-07,-3.923047E-06
7.706153E-07,-2.020200E-07,-1.150048E-07,-3.923228E-06
7.753653E-07,-2.031759E-07,-1.157189E-07,-3.923410E-06
