## Electron attachment in air at 20 celsius degree
## and 1013.25 hPa obtained using Magbolt
## The current composition used is:
##
## --------------------   -----------------------
## Electric field (V/m)   Electron Attachment (s)
## --------------------   -----------------------
5.000000000000000000e+01,2.019121891965671698e-08
8.900000000000000000e+01,2.014812904473690629e-08
1.280000000000000000e+02,2.014205750029694404e-08
1.670000000000000000e+02,2.022207069150583952e-08
2.060000000000000000e+02,2.022875771577919401e-08
2.450000000000000284e+02,2.021107476351425645e-08
2.840000000000000000e+02,2.021304549956541918e-08
3.230000000000000000e+02,2.018195241014893673e-08
3.620000000000000000e+02,2.019448908548448318e-08
4.010000000000000000e+02,2.013391469340880429e-08
4.400000000000000568e+02,2.016582763379825045e-08
4.790000000000000000e+02,2.014404604445468759e-08
5.180000000000000000e+02,2.007142214857348362e-08
5.570000000000000000e+02,2.017144111230167365e-08
5.960000000000000000e+02,2.007680582837703907e-08
6.350000000000000000e+02,2.015306250976163809e-08
6.740000000000000000e+02,2.022758050829886601e-08
7.130000000000000000e+02,2.018455139027152653e-08
7.520000000000000000e+02,2.021302098556264484e-08
7.910000000000000000e+02,2.019986554969490093e-08
8.300000000000001137e+02,2.018065724364511343e-08
8.690000000000000000e+02,2.019125153453511918e-08
9.080000000000000000e+02,2.016797503043347456e-08
9.470000000000001137e+02,2.015839255365105890e-08
9.860000000000000000e+02,2.015968079967809177e-08
1.025000000000000000e+03,2.017756255044390725e-08
1.064000000000000000e+03,2.022490498845259201e-08
1.103000000000000000e+03,2.012370443590841710e-08
1.142000000000000000e+03,2.020642887741163488e-08
1.181000000000000000e+03,2.015800245484154027e-08
1.220000000000000000e+03,2.025051015085172042e-08
1.259000000000000000e+03,2.017609697439249924e-08
1.298000000000000000e+03,2.009470837001873808e-08
1.337000000000000000e+03,2.012787156292439719e-08
1.376000000000000000e+03,2.011923139385552110e-08
1.415000000000000000e+03,2.011453012306773386e-08
1.454000000000000000e+03,2.009795300137906289e-08
1.493000000000000000e+03,2.014848466067654851e-08
1.532000000000000000e+03,2.014075203433176589e-08
1.571000000000000000e+03,2.012541514706365345e-08
1.610000000000000227e+03,2.007468908522291591e-08
1.648999999999999773e+03,2.013711563406390052e-08
1.688000000000000000e+03,2.012373035360453016e-08
1.727000000000000000e+03,2.019264428815516902e-08
1.766000000000000000e+03,2.009552205453402254e-08
1.805000000000000000e+03,2.018607320418889200e-08
1.844000000000000227e+03,2.008921257699617701e-08
1.882999999999999773e+03,2.006237392051889304e-08
1.922000000000000000e+03,2.010905057691659313e-08
2.000000000000000000e+03,2.014521070782413802e-08
2.122119999999999891e+03,2.002002883765034238e-08
2.251699999999999818e+03,2.004260054746363306e-08
2.389190000000000055e+03,2.009512469366489235e-08
2.535079999999999927e+03,2.005811236313848547e-08
2.689870000000000346e+03,2.009040683073831996e-08
2.854119999999999891e+03,2.001976351053760171e-08
3.028389999999999873e+03,1.996041052177111733e-08
3.213309999999999945e+03,2.004491664922758790e-08
3.409519999999999982e+03,1.992500229137526286e-08
3.617699999999999818e+03,1.992049729529448092e-08
3.838609999999999673e+03,1.986051562665090510e-08
4.072990000000000236e+03,1.988186197613778946e-08
4.321690000000000509e+03,1.987091851333735950e-08
4.585579999999999927e+03,1.978431143671691322e-08
4.865579999999999927e+03,1.977541457179108296e-08
5.162680000000000291e+03,1.970876360027867921e-08
5.477920000000000073e+03,1.970098631017863226e-08
5.812400000000000546e+03,1.958185302683555792e-08
6.167309999999999491e+03,1.945955370681146695e-08
6.543890000000000327e+03,1.939367611009401798e-08
6.943470000000000255e+03,1.935834444340984724e-08
7.367440000000000509e+03,1.922276960126593589e-08
7.817310000000000400e+03,1.909576583855332252e-08
8.294639999999999418e+03,1.898334325529407475e-08
8.801120000000000800e+03,1.882257632507643502e-08
9.338520000000000437e+03,1.868305045638021245e-08
9.908739999999999782e+03,1.845381738434485487e-08
1.051378000000000065e+04,1.833990819041959874e-08
1.115576000000000022e+04,1.807109494029219822e-08
1.183694000000000051e+04,1.788153838451029461e-08
1.255970999999999913e+04,1.767447401207201831e-08
1.332661999999999898e+04,1.731425441011373925e-08
1.414035000000000036e+04,1.714426003316385586e-08
1.500378000000000065e+04,1.680599254637424422e-08
1.591991999999999825e+04,1.654630498341282446e-08
1.689200999999999840e+04,1.617156346999059112e-08
1.792345000000000073e+04,1.581754900118505031e-08
1.901786999999999898e+04,1.549053225639228981e-08
2.017911999999999898e+04,1.511533293780537860e-08
2.141127000000000044e+04,1.474570116730656892e-08
2.271867000000000189e+04,1.440596042578948050e-08
2.410588999999999942e+04,1.403056013138889906e-08
2.557780999999999767e+04,1.364901801320962881e-08
