## Electron velocity in air at 20 celsius degree and
## 1013.25 hPa obtained using Magbolt
## The current composition used is:
##
## --------------------   -----------------------
## Electric field (V/m)   Electron velocity (m/s)
## --------------------   -----------------------
0.000000000000000000e+00,0.000000000000000000e+00
5.000000000000000000e+01,1.864000000000000057e+01
8.900000000000000000e+01,3.715000000000000568e+01
1.280000000000000000e+02,5.339000000000000057e+01
1.670000000000000000e+02,6.554999999999999716e+01
2.060000000000000000e+02,8.293000000000000682e+01
2.450000000000000284e+02,9.864000000000000057e+01
2.840000000000000000e+02,1.150000000000000000e+02
3.230000000000000000e+02,1.337000000000000171e+02
3.620000000000000000e+02,1.459000000000000057e+02
4.010000000000000000e+02,1.620999999999999943e+02
4.400000000000000568e+02,1.797999999999999829e+02
4.790000000000000000e+02,1.945999999999999943e+02
5.180000000000000000e+02,2.111999999999999886e+02
5.570000000000000000e+02,2.272000000000000171e+02
5.960000000000000000e+02,2.444000000000000057e+02
6.350000000000000000e+02,2.575000000000000000e+02
6.740000000000000000e+02,2.745000000000000000e+02
7.130000000000000000e+02,2.916000000000000227e+02
7.520000000000000000e+02,3.094000000000000341e+02
7.910000000000000000e+02,3.222999999999999545e+02
8.300000000000001137e+02,3.393999999999999773e+02
8.690000000000000000e+02,3.520000000000000000e+02
9.080000000000000000e+02,3.691999999999999886e+02
9.470000000000001137e+02,3.902999999999999545e+02
9.860000000000000000e+02,4.046000000000000227e+02
1.025000000000000000e+03,4.200000000000000000e+02
1.064000000000000000e+03,4.340999999999999659e+02
1.103000000000000000e+03,4.534000000000000341e+02
1.142000000000000000e+03,4.660000000000000000e+02
1.181000000000000000e+03,4.820999999999999659e+02
1.220000000000000000e+03,4.984000000000000341e+02
1.259000000000000000e+03,5.150000000000000000e+02
1.298000000000000000e+03,5.315000000000000000e+02
1.337000000000000000e+03,5.462000000000000455e+02
1.376000000000000000e+03,5.652000000000000455e+02
1.415000000000000000e+03,5.795000000000000000e+02
1.454000000000000000e+03,5.950999999999999091e+02
1.493000000000000000e+03,6.091999999999999318e+02
